home_language,pct_of_students,county_district_school_code,academic_year
Italian,1.0,27-1090-070,2018-2019
Korean,1.0,27-1090-070,2018-2019
English,78.1,27-1090-080,2018-2019
Other,10.0,27-1090-080,2018-2019
Spanish,6.3,27-1090-080,2018-2019
Portuguese,2.2,27-1090-080,2018-2019
Chinese,1.9,27-1090-080,2018-2019
Polish,1.5,27-1090-080,2018-2019
Spanish,72.4,27-1110-040,2018-2019
English,25.5,27-1110-040,2018-2019
Other,2.1,27-1110-040,2018-2019
Spanish,75.7,27-1110-050,2018-2019
English,23.7,27-1110-050,2018-2019
Other,0.5,27-1110-050,2018-2019
Spanish,80.2,27-1110-060,2018-2019
English,16.7,27-1110-060,2018-2019
Other,1.9,27-1110-060,2018-2019
Chinese,1.3,27-1110-060,2018-2019
Spanish,76.6,27-1110-065,2018-2019
English,21.3,27-1110-065,2018-2019
Other,2.1,27-1110-065,2018-2019
Spanish,81.8,27-1110-070,2018-2019
English,15.5,27-1110-070,2018-2019
Other,2.7,27-1110-070,2018-2019
English,88.6,27-1190-030,2018-2019
Spanish,3.1,27-1190-030,2018-2019
Other,3.1,27-1190-030,2018-2019
Chinese,3.1,27-1190-030,2018-2019
Vietnamese,2.1,27-1190-030,2018-2019
English,93.6,27-1190-035,2018-2019
Other,2.5,27-1190-035,2018-2019
Spanish,1.5,27-1190-035,2018-2019
Gujarati,1.2,27-1190-035,2018-2019
Chinese,1.2,27-1190-035,2018-2019
English,89.7,27-1190-050,2018-2019
Other,4.1,27-1190-050,2018-2019
Chinese,1.7,27-1190-050,2018-2019
Spanish,1.7,27-1190-050,2018-2019
Gujarati,1.4,27-1190-050,2018-2019
Malayalam,1.4,27-1190-050,2018-2019
English,91.7,27-1990-050,2018-2019
Other,6.0,27-1990-050,2018-2019
Spanish,2.3,27-1990-050,2018-2019
English,94.2,27-1990-070,2018-2019
Other,3.4,27-1990-070,2018-2019
Spanish,2.4,27-1990-070,2018-2019
English,90.3,27-2000-025,2018-2019
Spanish,5.5,27-2000-025,2018-2019
Other,2.7,27-2000-025,2018-2019
Russian,1.5,27-2000-025,2018-2019
English,94.0,27-2000-040,2018-2019
Other,2.1,27-2000-040,2018-2019
Spanish,2.1,27-2000-040,2018-2019
Chinese,1.9,27-2000-040,2018-2019
English,93.1,27-2000-050,2018-2019
Other,5.0,27-2000-050,2018-2019
Spanish,1.9,27-2000-050,2018-2019
English,92.4,27-2000-060,2018-2019
Other,4.0,27-2000-060,2018-2019
Chinese,3.6,27-2000-060,2018-2019
English,98.9,27-2010-050,2018-2019
Other,1.1,27-2010-050,2018-2019
English,98.0,27-2380-020,2018-2019
Spanish,1.4,27-2380-020,2018-2019
Other,0.7,27-2380-020,2018-2019
English,96.8,27-2380-028,2018-2019
Spanish,1.8,27-2380-028,2018-2019
Other,1.4,27-2380-028,2018-2019
English,98.8,27-2380-033,2018-2019
Other,1.2,27-2380-033,2018-2019
English,94.3,27-2380-040,2018-2019
Spanish,3.9,27-2380-040,2018-2019
Other,1.8,27-2380-040,2018-2019
English,97.5,27-2380-045,2018-2019
Other,2.5,27-2380-045,2018-2019
English,98.2,27-2380-050,2018-2019
Other,1.8,27-2380-050,2018-2019
English,97.2,27-2380-070,2018-2019
Other,1.5,27-2380-070,2018-2019
Polish,1.2,27-2380-070,2018-2019
English,98.5,27-2460-050,2018-2019
Other,1.5,27-2460-050,2018-2019
English,100.0,27-2460-060,2018-2019
English,98.8,27-2460-065,2018-2019
Other,1.2,27-2460-065,2018-2019
English,97.9,27-2460-070,2018-2019
Other,2.1,27-2460-070,2018-2019
English,74.7,27-2650-035,2018-2019
Other,10.0,27-2650-035,2018-2019
Spanish,8.6,27-2650-035,2018-2019
Albanian,2.4,27-2650-035,2018-2019
Polish,2.4,27-2650-035,2018-2019
Arabic,2.0,27-2650-035,2018-2019
English,86.6,27-2650-040,2018-2019
Spanish,6.0,27-2650-040,2018-2019
Arabic,3.1,27-2650-040,2018-2019
Other,2.4,27-2650-040,2018-2019
Albanian,1.0,27-2650-040,2018-2019
Turkish,1.0,27-2650-040,2018-2019
English,88.5,27-2870-050,2018-2019
Spanish,7.5,27-2870-050,2018-2019
Other,4.0,27-2870-050,2018-2019
English,81.9,27-2870-060,2018-2019
Spanish,8.8,27-2870-060,2018-2019
Other,6.8,27-2870-060,2018-2019
Chinese,1.4,27-2870-060,2018-2019
Portuguese,1.2,27-2870-060,2018-2019
English,85.1,27-2870-080,2018-2019
Spanish,6.8,27-2870-080,2018-2019
Other,5.2,27-2870-080,2018-2019
"English, Middle (1100-1500)",1.9,27-2870-080,2018-2019
Korean,1.0,27-2870-080,2018-2019
English,84.1,27-2870-100,2018-2019
Spanish,9.2,27-2870-100,2018-2019
Other,4.1,27-2870-100,2018-2019
Portuguese,1.4,27-2870-100,2018-2019
French,1.1,27-2870-100,2018-2019
English,87.6,27-2870-110,2018-2019
Other,4.1,27-2870-110,2018-2019
Spanish,2.2,27-2870-110,2018-2019
Chinese,2.2,27-2870-110,2018-2019
German,1.9,27-2870-110,2018-2019
Efik,1.9,27-2870-110,2018-2019
English,92.3,27-3090-050,2018-2019
Spanish,5.1,27-3090-050,2018-2019
French,2.2,27-3090-050,2018-2019
Other,0.4,27-3090-050,2018-2019
English,95.3,27-3090-060,2018-2019
Other,2.8,27-3090-060,2018-2019
Spanish,2.0,27-3090-060,2018-2019
English,99.0,27-3100-050,2018-2019
Other,1.0,27-3100-050,2018-2019
English,97.5,27-3100-060,2018-2019
French,1.6,27-3100-060,2018-2019
Other,1.0,27-3100-060,2018-2019
English,90.9,27-3240-030,2018-2019
Spanish,8.5,27-3240-030,2018-2019
Other,0.6,27-3240-030,2018-2019
English,83.7,27-3340-010,2018-2019
Other,8.1,27-3340-010,2018-2019
Chinese,3.4,27-3340-010,2018-2019
Korean,1.6,27-3340-010,2018-2019
Spanish,1.6,27-3340-010,2018-2019
Urdu,1.6,27-3340-010,2018-2019
English,79.5,27-3340-025,2018-2019
Other,12.7,27-3340-025,2018-2019
Chinese,3.0,27-3340-025,2018-2019
Polish,1.8,27-3340-025,2018-2019
Spanish,1.8,27-3340-025,2018-2019
Telugu,1.2,27-3340-025,2018-2019
English,78.7,27-3340-030,2018-2019
Other,11.7,27-3340-030,2018-2019
Hindi,2.6,27-3340-030,2018-2019
Chinese,2.6,27-3340-030,2018-2019
Spanish,2.4,27-3340-030,2018-2019
Telugu,2.1,27-3340-030,2018-2019
English,64.1,27-3340-050,2018-2019
Other,12.8,27-3340-050,2018-2019
Chinese,7.4,27-3340-050,2018-2019
Telugu,6.7,27-3340-050,2018-2019
Hindi,5.4,27-3340-050,2018-2019
Tamil,3.5,27-3340-050,2018-2019
English,70.5,27-3340-055,2018-2019
Other,16.8,27-3340-055,2018-2019
Chinese,4.3,27-3340-055,2018-2019
Telugu,3.0,27-3340-055,2018-2019
Spanish,2.7,27-3340-055,2018-2019
Hindi,2.7,27-3340-055,2018-2019
English,83.8,27-3340-065,2018-2019
Other,8.3,27-3340-065,2018-2019
Chinese,2.2,27-3340-065,2018-2019
Spanish,2.2,27-3340-065,2018-2019
Gujarati,1.7,27-3340-065,2018-2019
Urdu,1.7,27-3340-065,2018-2019
English,63.4,27-3340-070,2018-2019
Other,17.9,27-3340-070,2018-2019
Telugu,7.9,27-3340-070,2018-2019
Spanish,5.7,27-3340-070,2018-2019
Hindi,2.9,27-3340-070,2018-2019
Tamil,2.2,27-3340-070,2018-2019
English,87.1,27-3364-080,2018-2019
Spanish,12.9,27-3364-080,2018-2019
English,75.0,27-3364-085,2018-2019
Spanish,25.0,27-3364-085,2018-2019
English,79.7,27-3365-020,2018-2019
Other,7.0,27-3365-020,2018-2019
Telugu,4.9,27-3365-020,2018-2019
Hindi,4.2,27-3365-020,2018-2019
Marathi,2.1,27-3365-020,2018-2019
Tamil,2.1,27-3365-020,2018-2019
English,90.3,27-3365-050,2018-2019
Other,4.6,27-3365-050,2018-2019
Spanish,4.0,27-3365-050,2018-2019
Gujarati,1.1,27-3365-050,2018-2019
English,97.6,27-3365-300,2018-2019
Hindi,2.4,27-3365-300,2018-2019
English,91.9,27-3365-301,2018-2019
Albanian,2.7,27-3365-301,2018-2019
Chinese,2.7,27-3365-301,2018-2019
Hindi,2.7,27-3365-301,2018-2019
English,100.0,27-3365-302,2018-2019
English,79.4,27-3370-050,2018-2019
Spanish,16.9,27-3370-050,2018-2019
Other,3.7,27-3370-050,2018-2019
English,97.3,27-3370-060,2018-2019
Spanish,1.9,27-3370-060,2018-2019
Other,0.7,27-3370-060,2018-2019
English,96.2,27-3380-020,2018-2019
Spanish,2.1,27-3380-020,2018-2019
Other,1.6,27-3380-020,2018-2019
English,92.0,27-3380-030,2018-2019
Spanish,5.0,27-3380-030,2018-2019
French,1.0,27-3380-030,2018-2019
Malayalam,1.0,27-3380-030,2018-2019
Chinese,1.0,27-3380-030,2018-2019
English,83.2,27-3385-050,2018-2019
Spanish,14.9,27-3385-050,2018-2019
Other,1.8,27-3385-050,2018-2019
English,67.3,27-3385-060,2018-2019
Spanish,31.0,27-3385-060,2018-2019
Chinese,1.0,27-3385-060,2018-2019
Other,0.7,27-3385-060,2018-2019
English,66.3,27-3385-065,2018-2019
Spanish,31.7,27-3385-065,2018-2019
Other,1.9,27-3385-065,2018-2019
English,65.8,27-3385-075,2018-2019
Spanish,30.9,27-3385-075,2018-2019
Other,3.3,27-3385-075,2018-2019
English,58.5,27-3385-085,2018-2019
Spanish,40.8,27-3385-085,2018-2019
Other,0.7,27-3385-085,2018-2019
English,52.3,27-3385-090,2018-2019
Spanish,44.0,27-3385-090,2018-2019
Other,3.6,27-3385-090,2018-2019
English,63.3,27-3385-100,2018-2019
Spanish,34.8,27-3385-100,2018-2019
Other,1.9,27-3385-100,2018-2019
English,74.8,27-3385-105,2018-2019
Spanish,23.5,27-3385-105,2018-2019
Other,1.7,27-3385-105,2018-2019
English,67.5,27-3385-110,2018-2019
Spanish,30.1,27-3385-110,2018-2019
Other,2.4,27-3385-110,2018-2019
English,65.3,27-3385-115,2018-2019
Spanish,31.3,27-3385-115,2018-2019
Other,3.4,27-3385-115,2018-2019
English,94.7,27-3410-045,2018-2019
Other,3.5,27-3410-045,2018-2019
Telugu,1.8,27-3410-045,2018-2019
English,89.7,27-3410-050,2018-2019
Spanish,6.7,27-3410-050,2018-2019
Other,2.4,27-3410-050,2018-2019
Vietnamese,1.2,27-3410-050,2018-2019
English,78.4,27-3450-010,2018-2019
Other,10.4,27-3450-010,2018-2019
Spanish,7.9,27-3450-010,2018-2019
Hindi,1.2,27-3450-010,2018-2019
Arabic,1.1,27-3450-010,2018-2019
Gujarati,1.0,27-3450-010,2018-2019
English,81.9,27-3450-040,2018-2019
Other,8.1,27-3450-040,2018-2019
Spanish,6.2,27-3450-040,2018-2019
Urdu,1.6,27-3450-040,2018-2019
Hindi,1.2,27-3450-040,2018-2019
Polish,1.0,27-3450-040,2018-2019
English,86.0,27-3450-050,2018-2019
Other,6.5,27-3450-050,2018-2019
Spanish,4.9,27-3450-050,2018-2019
Telugu,1.4,27-3450-050,2018-2019
Gujarati,1.2,27-3450-050,2018-2019
English,82.1,27-3450-060,2018-2019
Spanish,8.7,27-3450-060,2018-2019
Other,6.0,27-3450-060,2018-2019
Arabic,1.8,27-3450-060,2018-2019
Gujarati,1.4,27-3450-060,2018-2019
English,77.2,27-3450-065,2018-2019
Other,11.2,27-3450-065,2018-2019
Spanish,5.7,27-3450-065,2018-2019
Telugu,2.4,27-3450-065,2018-2019
Tamil,2.0,27-3450-065,2018-2019
Urdu,1.5,27-3450-065,2018-2019
English,71.8,27-3450-070,2018-2019
Spanish,10.8,27-3450-070,2018-2019
Other,10.4,27-3450-070,2018-2019
Arabic,3.7,27-3450-070,2018-2019
Polish,1.8,27-3450-070,2018-2019
Urdu,1.5,27-3450-070,2018-2019
English,98.2,27-3460-050,2018-2019
Other,1.8,27-3460-050,2018-2019
English,98.2,27-3460-060,2018-2019
Spanish,1.0,27-3460-060,2018-2019
Other,0.8,27-3460-060,2018-2019
English,70.4,27-3460-070,2018-2019
Spanish,21.1,27-3460-070,2018-2019
Sign Languages,2.8,27-3460-070,2018-2019
Arabic,2.8,27-3460-070,2018-2019
Gujarati,1.4,27-3460-070,2018-2019
Other,1.4,27-3460-070,2018-2019
English,97.3,27-3460-080,2018-2019
Other,2.7,27-3460-080,2018-2019
English,74.7,27-3520-060,2018-2019
Spanish,23.9,27-3520-060,2018-2019
Other,1.4,27-3520-060,2018-2019
English,64.9,27-3950-050,2018-2019
Other,15.7,27-3950-050,2018-2019
Spanish,7.0,27-3950-050,2018-2019
Gujarati,6.7,27-3950-050,2018-2019
Chinese,4.2,27-3950-050,2018-2019
Urdu,1.6,27-3950-050,2018-2019
English,68.6,27-3950-053,2018-2019
Other,12.0,27-3950-053,2018-2019
Gujarati,9.7,27-3950-053,2018-2019
Spanish,5.2,27-3950-053,2018-2019
Chinese,2.7,27-3950-053,2018-2019
Hindi,1.7,27-3950-053,2018-2019
English,67.6,27-3950-055,2018-2019
Other,13.9,27-3950-055,2018-2019
Gujarati,8.5,27-3950-055,2018-2019
Spanish,4.0,27-3950-055,2018-2019
Hindi,3.5,27-3950-055,2018-2019
Telugu,2.4,27-3950-055,2018-2019
English,66.9,27-3950-060,2018-2019
Other,14.5,27-3950-060,2018-2019
Spanish,6.7,27-3950-060,2018-2019
Gujarati,5.7,27-3950-060,2018-2019
Telugu,3.7,27-3950-060,2018-2019
Chinese,2.5,27-3950-060,2018-2019
English,54.0,27-3950-062,2018-2019
Other,15.3,27-3950-062,2018-2019
Gujarati,13.3,27-3950-062,2018-2019
Spanish,6.6,27-3950-062,2018-2019
Telugu,5.8,27-3950-062,2018-2019
Hindi,4.9,27-3950-062,2018-2019
English,61.6,27-3950-064,2018-2019
Other,13.2,27-3950-064,2018-2019
Spanish,11.0,27-3950-064,2018-2019
Gujarati,7.5,27-3950-064,2018-2019
Telugu,4.6,27-3950-064,2018-2019
Hindi,2.1,27-3950-064,2018-2019
English,48.0,27-3950-065,2018-2019
Other,27.9,27-3950-065,2018-2019
Telugu,7.5,27-3950-065,2018-2019
Tamil,7.2,27-3950-065,2018-2019
Spanish,5.5,27-3950-065,2018-2019
Hindi,4.0,27-3950-065,2018-2019
English,49.2,27-3950-070,2018-2019
Other,20.3,27-3950-070,2018-2019
Spanish,9.0,27-3950-070,2018-2019
Telugu,8.5,27-3950-070,2018-2019
Tamil,6.8,27-3950-070,2018-2019
Hindi,6.3,27-3950-070,2018-2019
English,62.1,27-3950-080,2018-2019
Gujarati,16.6,27-3950-080,2018-2019
Other,10.5,27-3950-080,2018-2019
Spanish,5.4,27-3950-080,2018-2019
Hindi,2.9,27-3950-080,2018-2019
Chinese,2.5,27-3950-080,2018-2019
English,63.7,27-3950-090,2018-2019
Other,16.3,27-3950-090,2018-2019
Hindi,6.8,27-3950-090,2018-2019
Telugu,5.6,27-3950-090,2018-2019
Spanish,4.6,27-3950-090,2018-2019
Chinese,2.9,27-3950-090,2018-2019
English,75.6,27-3950-100,2018-2019
Other,12.1,27-3950-100,2018-2019
Gujarati,4.0,27-3950-100,2018-2019
Tamil,2.9,27-3950-100,2018-2019
Hindi,2.9,27-3950-100,2018-2019
Telugu,2.6,27-3950-100,2018-2019
English,61.0,27-3950-103,2018-2019
Other,14.0,27-3950-103,2018-2019
Telugu,7.9,27-3950-103,2018-2019
Tamil,6.2,27-3950-103,2018-2019
Gujarati,6.2,27-3950-103,2018-2019
Hindi,4.8,27-3950-103,2018-2019
English,61.9,27-3950-107,2018-2019
Other,14.0,27-3950-107,2018-2019
Spanish,13.2,27-3950-107,2018-2019
Chinese,3.9,27-3950-107,2018-2019
Gujarati,3.9,27-3950-107,2018-2019
Hindi,3.1,27-3950-107,2018-2019
English,62.5,27-3950-120,2018-2019
Other,17.1,27-3950-120,2018-2019
Spanish,7.1,27-3950-120,2018-2019
Gujarati,5.6,27-3950-120,2018-2019
Hindi,4.8,27-3950-120,2018-2019
Turkish,3.0,27-3950-120,2018-2019
English,89.7,27-4000-030,2018-2019
Spanish,5.1,27-4000-030,2018-2019
Other,4.0,27-4000-030,2018-2019
Russian,1.2,27-4000-030,2018-2019
English,83.4,27-4000-050,2018-2019
Spanish,8.3,27-4000-050,2018-2019
Other,5.4,27-4000-050,2018-2019
Chinese,2.9,27-4000-050,2018-2019
English,85.4,27-4000-060,2018-2019
Spanish,8.0,27-4000-060,2018-2019
Other,4.4,27-4000-060,2018-2019
Russian,2.2,27-4000-060,2018-2019
English,98.8,27-4080-050,2018-2019
Other,1.2,27-4080-050,2018-2019
English,99.7,27-4080-055,2018-2019
Other,0.3,27-4080-055,2018-2019
English,99.4,27-4080-060,2018-2019
Other,0.6,27-4080-060,2018-2019
English,98.3,27-4080-080,2018-2019
Other,1.7,27-4080-080,2018-2019
English,93.0,27-4080-100,2018-2019
Spanish,1.9,27-4080-100,2018-2019
Other,1.9,27-4080-100,2018-2019
Chinese,1.3,27-4080-100,2018-2019
Albanian,1.0,27-4080-100,2018-2019
Gujarati,1.0,27-4080-100,2018-2019
English,82.7,27-4330-050,2018-2019
Spanish,8.2,27-4330-050,2018-2019
Other,7.9,27-4330-050,2018-2019
Chinese,1.3,27-4330-050,2018-2019
English,81.8,27-4330-057,2018-2019
Spanish,6.8,27-4330-057,2018-2019
Other,6.4,27-4330-057,2018-2019
Hindi,2.1,27-4330-057,2018-2019
Bengali,1.7,27-4330-057,2018-2019
Chinese,1.3,27-4330-057,2018-2019
English,59.3,27-4330-065,2018-2019
Other,14.6,27-4330-065,2018-2019
Spanish,13.5,27-4330-065,2018-2019
Telugu,4.8,27-4330-065,2018-2019
Tamil,4.3,27-4330-065,2018-2019
Hindi,3.5,27-4330-065,2018-2019
English,86.1,27-4330-070,2018-2019
Other,7.0,27-4330-070,2018-2019
Spanish,5.5,27-4330-070,2018-2019
Korean,1.3,27-4330-070,2018-2019
English,83.8,27-4330-075,2018-2019
Other,8.3,27-4330-075,2018-2019
Spanish,8.0,27-4330-075,2018-2019
English,91.5,27-4330-080,2018-2019
Other,6.2,27-4330-080,2018-2019
Spanish,2.2,27-4330-080,2018-2019
English,91.4,27-4440-050,2018-2019
Other,4.7,27-4440-050,2018-2019
Spanish,3.8,27-4440-050,2018-2019
English,75.0,27-4480-050,2018-2019
Spanish,17.0,27-4480-050,2018-2019
Other,4.8,27-4480-050,2018-2019
Urdu,1.3,27-4480-050,2018-2019
Vietnamese,1.0,27-4480-050,2018-2019
Hindi,1.0,27-4480-050,2018-2019
English,66.0,27-4480-060,2018-2019
Spanish,20.4,27-4480-060,2018-2019
Other,8.0,27-4480-060,2018-2019
Gujarati,2.0,27-4480-060,2018-2019
Urdu,2.0,27-4480-060,2018-2019
Polish,1.6,27-4480-060,2018-2019
English,80.8,27-4490-010,2018-2019
Spanish,15.7,27-4490-010,2018-2019
Other,3.5,27-4490-010,2018-2019
English,86.9,27-4490-015,2018-2019
Spanish,8.2,27-4490-015,2018-2019
Other,4.9,27-4490-015,2018-2019
English,86.4,27-4490-019,2018-2019
Spanish,8.8,27-4490-019,2018-2019
Other,3.7,27-4490-019,2018-2019
Arabic,1.0,27-4490-019,2018-2019
English,87.2,27-4490-025,2018-2019
Other,8.1,27-4490-025,2018-2019
Spanish,4.7,27-4490-025,2018-2019
English,95.4,27-4490-030,2018-2019
Spanish,1.9,27-4490-030,2018-2019
Other,1.5,27-4490-030,2018-2019
Polish,1.2,27-4490-030,2018-2019
English,95.3,27-4490-080,2018-2019
Spanish,2.5,27-4490-080,2018-2019
Other,2.2,27-4490-080,2018-2019
English,83.2,27-4560-050,2018-2019
Spanish,10.3,27-4560-050,2018-2019
Other,6.6,27-4560-050,2018-2019
English,80.8,27-4560-055,2018-2019
Spanish,12.6,27-4560-055,2018-2019
Other,6.6,27-4560-055,2018-2019
English,80.9,27-4560-060,2018-2019
Spanish,13.6,27-4560-060,2018-2019
Other,5.6,27-4560-060,2018-2019
English,85.9,27-4560-065,2018-2019
Other,8.1,27-4560-065,2018-2019
Spanish,5.0,27-4560-065,2018-2019
"Greek, Modern (1453-)",1.0,27-4560-065,2018-2019
English,94.6,27-4560-067,2018-2019
Other,3.1,27-4560-067,2018-2019
Spanish,2.3,27-4560-067,2018-2019
English,82.8,27-4560-080,2018-2019
Spanish,9.7,27-4560-080,2018-2019
Other,7.6,27-4560-080,2018-2019
English,87.3,27-4560-085,2018-2019
Spanish,8.5,27-4560-085,2018-2019
Other,3.1,27-4560-085,2018-2019
Portuguese,1.2,27-4560-085,2018-2019
English,94.6,27-5520-030,2018-2019
Other,2.7,27-5520-030,2018-2019
Polish,1.6,27-5520-030,2018-2019
Spanish,1.1,27-5520-030,2018-2019
English,97.0,27-5520-035,2018-2019
Other,2.0,27-5520-035,2018-2019
Spanish,1.1,27-5520-035,2018-2019
English,93.0,27-5520-040,2018-2019
Spanish,3.5,27-5520-040,2018-2019
Other,2.6,27-5520-040,2018-2019
Polish,1.0,27-5520-040,2018-2019
English,90.4,27-5520-050,2018-2019
Spanish,5.0,27-5520-050,2018-2019
Other,4.6,27-5520-050,2018-2019
English,97.6,27-5660-030,2018-2019
Other,1.3,27-5660-030,2018-2019
Spanish,1.1,27-5660-030,2018-2019
English,95.0,27-5660-050,2018-2019
Other,2.7,27-5660-050,2018-2019
Spanish,2.3,27-5660-050,2018-2019
English,52.3,27-5770-030,2018-2019
Spanish,45.6,27-5770-030,2018-2019
Other,2.1,27-5770-030,2018-2019
English,71.3,27-5770-040,2018-2019
Spanish,26.1,27-5770-040,2018-2019
Other,2.6,27-5770-040,2018-2019
English,91.4,29-0185-010,2018-2019
Spanish,5.9,29-0185-010,2018-2019
Other,1.7,29-0185-010,2018-2019
Chinese,1.0,29-0185-010,2018-2019
English,97.0,29-0185-015,2018-2019
Other,1.6,29-0185-015,2018-2019
Spanish,1.4,29-0185-015,2018-2019
English,95.9,29-0185-030,2018-2019
Spanish,2.6,29-0185-030,2018-2019
Other,1.5,29-0185-030,2018-2019
English,95.1,29-0185-050,2018-2019
Spanish,2.9,29-0185-050,2018-2019
Other,2.1,29-0185-050,2018-2019
English,94.6,29-0185-070,2018-2019
Spanish,3.6,29-0185-070,2018-2019
Other,1.8,29-0185-070,2018-2019
English,97.2,29-0185-080,2018-2019
Spanish,1.8,29-0185-080,2018-2019
Other,0.9,29-0185-080,2018-2019
English,99.2,29-0210-020,2018-2019
Other,0.8,29-0210-020,2018-2019
English,75.0,29-0230-020,2018-2019
Spanish,25.0,29-0230-020,2018-2019
English,90.3,29-0320-020,2018-2019
Spanish,8.6,29-0320-020,2018-2019
Other,1.1,29-0320-020,2018-2019
English,96.3,29-0320-025,2018-2019
Spanish,3.0,29-0320-025,2018-2019
Other,0.7,29-0320-025,2018-2019
English,98.8,29-0320-030,2018-2019
Other,1.2,29-0320-030,2018-2019
English,96.9,29-0320-040,2018-2019
Spanish,2.8,29-0320-040,2018-2019
Other,0.3,29-0320-040,2018-2019
English,84.7,29-0530-020,2018-2019
Spanish,10.2,29-0530-020,2018-2019
Other,5.1,29-0530-020,2018-2019
English,95.5,29-0530-025,2018-2019
Spanish,2.8,29-0530-025,2018-2019
Other,1.7,29-0530-025,2018-2019
English,82.0,29-0530-027,2018-2019
Spanish,15.0,29-0530-027,2018-2019
Other,3.0,29-0530-027,2018-2019
English,90.9,29-0530-030,2018-2019
Spanish,6.2,29-0530-030,2018-2019
Other,3.0,29-0530-030,2018-2019
English,81.3,29-0530-035,2018-2019
Spanish,14.5,29-0530-035,2018-2019
Other,2.7,29-0530-035,2018-2019
Arabic,1.4,29-0530-035,2018-2019
English,98.0,29-0530-040,2018-2019
Spanish,1.6,29-0530-040,2018-2019
Other,0.4,29-0530-040,2018-2019
English,83.2,29-0530-043,2018-2019
Spanish,12.7,29-0530-043,2018-2019
Other,4.2,29-0530-043,2018-2019
English,84.7,29-0530-045,2018-2019
Spanish,9.0,29-0530-045,2018-2019
Other,3.3,29-0530-045,2018-2019
Arabic,1.6,29-0530-045,2018-2019
Portuguese,1.4,29-0530-045,2018-2019
English,97.9,29-0530-060,2018-2019
Spanish,2.1,29-0530-060,2018-2019
English,76.6,29-0530-070,2018-2019
Spanish,22.3,29-0530-070,2018-2019
Other,1.1,29-0530-070,2018-2019
English,90.9,29-0530-080,2018-2019
Spanish,5.9,29-0530-080,2018-2019
Other,3.1,29-0530-080,2018-2019
English,94.6,29-0530-090,2018-2019
Spanish,4.2,29-0530-090,2018-2019
Other,1.3,29-0530-090,2018-2019
English,91.7,29-0770-030,2018-2019
Spanish,6.5,29-0770-030,2018-2019
Other,1.9,29-0770-030,2018-2019
English,93.6,29-0770-050,2018-2019
Spanish,4.8,29-0770-050,2018-2019
Other,1.6,29-0770-050,2018-2019
English,93.8,29-1150-020,2018-2019
Spanish,6.3,29-1150-020,2018-2019
English,100.0,29-2350-050,2018-2019
English,96.9,29-2360-020,2018-2019
Spanish,1.6,29-2360-020,2018-2019
Other,1.5,29-2360-020,2018-2019
English,90.5,29-2360-025,2018-2019
Spanish,7.0,29-2360-025,2018-2019
Other,1.4,29-2360-025,2018-2019
Arabic,1.1,29-2360-025,2018-2019
English,85.6,29-2360-030,2018-2019
Spanish,8.6,29-2360-030,2018-2019
Other,3.4,29-2360-030,2018-2019
Russian,1.4,29-2360-030,2018-2019
Arabic,1.0,29-2360-030,2018-2019
English,95.2,29-2360-035,2018-2019
Other,2.9,29-2360-035,2018-2019
Spanish,2.0,29-2360-035,2018-2019
English,72.0,29-2360-040,2018-2019
Spanish,23.0,29-2360-040,2018-2019
Other,5.0,29-2360-040,2018-2019
English,91.6,29-2360-044,2018-2019
Other,4.3,29-2360-044,2018-2019
Spanish,4.1,29-2360-044,2018-2019
English,79.7,29-2360-046,2018-2019
Spanish,15.8,29-2360-046,2018-2019
Other,4.5,29-2360-046,2018-2019
English,81.4,29-2360-048,2018-2019
Spanish,15.1,29-2360-048,2018-2019
Other,2.3,29-2360-048,2018-2019
Arabic,1.2,29-2360-048,2018-2019
English,92.9,29-2360-050,2018-2019
Spanish,3.6,29-2360-050,2018-2019
Other,3.5,29-2360-050,2018-2019
English,95.5,29-2360-055,2018-2019
Spanish,2.9,29-2360-055,2018-2019
Other,1.6,29-2360-055,2018-2019
English,94.7,29-2480-020,2018-2019
Spanish,4.2,29-2480-020,2018-2019
Other,1.1,29-2480-020,2018-2019
English,99.2,29-2480-040,2018-2019
Other,0.8,29-2480-040,2018-2019
English,89.4,29-2480-050,2018-2019
Spanish,8.4,29-2480-050,2018-2019
Other,2.3,29-2480-050,2018-2019
English,95.0,29-2480-053,2018-2019
Spanish,3.3,29-2480-053,2018-2019
Other,1.8,29-2480-053,2018-2019
English,95.2,29-2480-055,2018-2019
Spanish,4.2,29-2480-055,2018-2019
Other,0.5,29-2480-055,2018-2019
English,97.5,29-2480-060,2018-2019
Spanish,2.3,29-2480-060,2018-2019
Other,0.2,29-2480-060,2018-2019
English,93.0,29-2500-050,2018-2019
Spanish,5.6,29-2500-050,2018-2019
Other,1.3,29-2500-050,2018-2019
Spanish,73.8,29-2520-050,2018-2019
English,25.2,29-2520-050,2018-2019
Other,1.0,29-2520-050,2018-2019
Spanish,80.5,29-2520-070,2018-2019
English,16.3,29-2520-070,2018-2019
Other,3.1,29-2520-070,2018-2019
Spanish,88.6,29-2520-080,2018-2019
English,11.4,29-2520-080,2018-2019
Spanish,81.3,29-2520-083,2018-2019
English,18.0,29-2520-083,2018-2019
Other,0.8,29-2520-083,2018-2019
Spanish,79.0,29-2520-084,2018-2019
English,20.4,29-2520-084,2018-2019
Other,0.6,29-2520-084,2018-2019
Spanish,80.6,29-2520-090,2018-2019
English,19.0,29-2520-090,2018-2019
