home_language,pct_of_students,county_district_school_code,academic_year
Bengali,1.7,01-1310-038,2018-2019
English,77.0,01-1310-039,2018-2019
Spanish,11.3,01-1310-039,2018-2019
Other,4.7,01-1310-039,2018-2019
Vietnamese,2.8,01-1310-039,2018-2019
Bengali,2.3,01-1310-039,2018-2019
Chinese,1.9,01-1310-039,2018-2019
English,77.7,01-1310-045,2018-2019
Spanish,10.7,01-1310-045,2018-2019
Other,5.6,01-1310-045,2018-2019
Vietnamese,3.0,01-1310-045,2018-2019
Chinese,1.5,01-1310-045,2018-2019
Bengali,1.5,01-1310-045,2018-2019
English,82.5,01-1310-050,2018-2019
Spanish,7.0,01-1310-050,2018-2019
Other,5.2,01-1310-050,2018-2019
Vietnamese,2.0,01-1310-050,2018-2019
Gujarati,1.8,01-1310-050,2018-2019
Bengali,1.6,01-1310-050,2018-2019
English,100.0,01-1410-050,2018-2019
English,98.2,01-1540-050,2018-2019
Other,1.8,01-1540-050,2018-2019
English,72.9,01-1690-015,2018-2019
Spanish,11.9,01-1690-015,2018-2019
Other,7.2,01-1690-015,2018-2019
Gujarati,4.6,01-1690-015,2018-2019
Urdu,1.8,01-1690-015,2018-2019
Vietnamese,1.6,01-1690-015,2018-2019
English,78.3,01-1690-016,2018-2019
Spanish,12.0,01-1690-016,2018-2019
Other,4.8,01-1690-016,2018-2019
Gujarati,2.5,01-1690-016,2018-2019
"Creoles and pidgins, French-based",1.3,01-1690-016,2018-2019
Chinese,1.1,01-1690-016,2018-2019
English,71.4,01-1690-040,2018-2019
Spanish,15.8,01-1690-040,2018-2019
Gujarati,6.0,01-1690-040,2018-2019
Other,5.3,01-1690-040,2018-2019
Chinese,1.5,01-1690-040,2018-2019
English,61.0,01-1690-045,2018-2019
Spanish,17.7,01-1690-045,2018-2019
Other,10.9,01-1690-045,2018-2019
Gujarati,5.9,01-1690-045,2018-2019
Urdu,2.5,01-1690-045,2018-2019
Bengali,2.0,01-1690-045,2018-2019
English,76.9,01-1690-046,2018-2019
Spanish,13.7,01-1690-046,2018-2019
Other,5.5,01-1690-046,2018-2019
Gujarati,1.8,01-1690-046,2018-2019
Arabic,1.1,01-1690-046,2018-2019
Vietnamese,1.1,01-1690-046,2018-2019
English,82.5,01-1690-048,2018-2019
Spanish,11.1,01-1690-048,2018-2019
Other,4.6,01-1690-048,2018-2019
Urdu,1.7,01-1690-048,2018-2019
English,76.3,01-1790-040,2018-2019
Spanish,9.3,01-1790-040,2018-2019
Other,6.1,01-1790-040,2018-2019
Gujarati,5.3,01-1790-040,2018-2019
Vietnamese,1.5,01-1790-040,2018-2019
Chinese,1.5,01-1790-040,2018-2019
English,91.7,01-1790-050,2018-2019
Spanish,5.2,01-1790-050,2018-2019
Other,3.1,01-1790-050,2018-2019
English,90.0,01-1790-060,2018-2019
Spanish,7.3,01-1790-060,2018-2019
Other,2.7,01-1790-060,2018-2019
English,91.0,01-1940-055,2018-2019
Other,4.7,01-1940-055,2018-2019
Spanish,4.3,01-1940-055,2018-2019
English,92.2,01-1940-060,2018-2019
Spanish,4.1,01-1940-060,2018-2019
Other,3.8,01-1940-060,2018-2019
English,94.6,01-1940-120,2018-2019
Spanish,3.9,01-1940-120,2018-2019
Other,1.4,01-1940-120,2018-2019
English,70.9,01-1960-030,2018-2019
Spanish,28.8,01-1960-030,2018-2019
Other,0.3,01-1960-030,2018-2019
English,86.3,01-1960-050,2018-2019
Spanish,12.6,01-1960-050,2018-2019
Other,1.1,01-1960-050,2018-2019
English,70.7,01-1960-055,2018-2019
Spanish,28.5,01-1960-055,2018-2019
Other,0.8,01-1960-055,2018-2019
English,78.5,01-1960-060,2018-2019
Spanish,20.0,01-1960-060,2018-2019
Other,1.5,01-1960-060,2018-2019
English,94.0,01-2680-020,2018-2019
Other,3.1,01-2680-020,2018-2019
Spanish,1.6,01-2680-020,2018-2019
Chinese,1.3,01-2680-020,2018-2019
English,96.6,01-2680-050,2018-2019
Spanish,1.8,01-2680-050,2018-2019
Other,1.6,01-2680-050,2018-2019
English,87.1,01-2910-050,2018-2019
Spanish,7.9,01-2910-050,2018-2019
Other,2.7,01-2910-050,2018-2019
Chinese,1.3,01-2910-050,2018-2019
Bengali,1.1,01-2910-050,2018-2019
English,97.8,01-3020-010,2018-2019
Spanish,1.1,01-3020-010,2018-2019
Other,1.1,01-3020-010,2018-2019
English,97.2,01-3020-025,2018-2019
Other,1.7,01-3020-025,2018-2019
Spanish,1.1,01-3020-025,2018-2019
English,99.2,01-3480-020,2018-2019
Other,0.8,01-3480-020,2018-2019
English,100.0,01-3480-025,2018-2019
