,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
49,StudentGrowthByPerformLevel,ScienceCourseParticipation,,SealofBiliteracy,PostSecondaryEnrRateSummary,PostsecondaryEnrRates16mos
50,StudentToStaffRatios,SealofBiliteracy,,SocStudiesHistoryCourseParticip,PostsecondaryEnrRates16mos,PostsecondaryEnrRatesFall
51,TeachersAdminsDemographics,SocStudiesHistoryCourseParticip,,StaffCounts,PostsecondaryEnrRatesFall,PreKAndK-FullDayHalfDay
52,TeachersAdminsLevelOfEducation,StudentGrowth,,StudentGrowthTrends,PreKAndK-FullDayHalfDay,SchoolDay
53,TeachersAdminsOneYearRetention,StudentGrowthByGrade,,StudentToStaffRatios,SchoolDay,ScienceAssessmentByGrade
54,TeachersExperienceCertification,StudentGrowthByPerformLevel,,TeachersAdminsDemographics,ScienceAssessmentByGrade,ScienceAssessmentSummaryByGrade
55,ViolenceVandalismHIBSubstanceOf,StudentGrowthTrends,,TeachersAdminsLevelOfEducation,ScienceAssessmentSummaryByGrade,ScienceCourseParticipation
56,VisualAndPerformingArts,StudentToStaffRatios,,TeachersAdminsOneYearRetention,ScienceCourseParticipation,SealofBiliteracy
57,WorldLanguagesCourseParticipati,TeachersAdminsDemographics,,TeachersBySubjectArea,SealofBiliteracy,SocStudiesHistoryCourseParticip
58,,TeachersAdminsLevelOfEducation,,TeachersExperience,SocStudiesHistoryCourseParticip,StaffCounts
59,,TeachersAdminsOneYearRetention,,ViolenceVandalismHIBSubstanceOf,StaffCounts,StudentGrowth
60,,TeachersExperience,,VisualAndPerformingArts,StudentToStaffRatios,StudentGrowthByGrade
61,,ViolenceVandalismHIBSubstanceOf,,WorkbasedLearningByCareerClust,TeachersAdminsDemographics,StudentGrowthByPerformLevel
62,,VisualAndPerformingArts,,WorldLanguagesCourseParticipati,TeachersAdminsLevelOfEducation,StudentGrowthTrends
63,,WorldLanguagesCourseParticipati,,,TeachersAdminsOneYearRetention,StudentToStaffRatios
64,,,,,TeachersBySubjectArea,TeachersAdminsDemographics
65,,,,,TeachersExperience,TeachersAdminsLevelOfEducation
66,,,,,ViolenceVandalismHIBSubstanceOf,TeachersAdminsOneYearRetention
67,,,,,VisualAndPerformingArts,TeachersBySubjectArea
68,,,,,WorkbasedLearningByCareerClust,TeachersExperience
69,,,,,WorldLanguagesCourseParticipati,ViolenceVandalismHIBSubstanceOf
70,,,,,,VisualAndPerformingArts
71,,,,,,WorkbasedLearningByCareerClust
72,,,,,,WorldLanguagesCourseParticipati
