grade06,grade07,grade08,grade09,grade10,grade11,grade12,county_district_school_code,economically_disadvantaged,english_learners,female,homeless,male,migrant,military_connected,in_foster_care,with_disabilities,american_indian_or_alaska_native,asian,black_or_african_american,hispanic,native_hawaiian_or_pacific_islander,two_or_more_races,white,academic_year
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-4860-110,3.5,4.3,50.7,0.0,49.3,0.0,0.3,0.0,10.8,0.0,73.0,3.2,4.6,0.0,1.6,17.5,2018-2019
296.0,363.0,342.0,0.0,0.0,0.0,0.0,23-4860-150,11.9,1.2,48.0,0.4,52.0,0.0,0.2,0.1,8.5,0.0,66.7,6.1,6.2,0.1,2.3,18.6,2018-2019
0.0,0.0,0.0,260.0,266.0,234.0,263.0,23-4910-050,20.3,1.4,49.1,0.5,50.9,0.0,0.6,0.0,13.6,0.1,13.1,14.8,28.7,0.5,0.0,42.8,2018-2019
0.0,255.0,271.0,0.0,0.0,0.0,0.0,23-4910-053,20.7,0.8,46.6,0.2,53.4,0.0,0.4,0.0,16.7,0.0,13.3,15.0,27.6,0.4,1.0,42.8,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-4910-055,12.7,0.0,48.7,0.0,51.3,0.0,0.0,0.0,23.7,0.0,13.7,4.0,23.3,0.7,3.3,55.0,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-4910-058,18.0,3.4,53.1,0.9,46.9,0.0,0.9,0.0,13.7,0.0,12.4,8.1,30.7,0.6,6.2,41.9,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-4910-060,18.0,0.0,48.4,0.4,51.6,0.0,0.4,0.0,23.2,0.0,9.2,12.0,29.2,0.0,2.8,46.8,2018-2019
285.0,0.0,0.0,0.0,0.0,0.0,0.0,23-4910-070,19.9,1.3,49.5,0.6,50.5,0.0,0.2,0.0,19.7,0.0,16.1,14.4,26.4,0.6,0.8,41.7,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-4910-080,23.7,4.8,47.0,1.0,53.0,0.0,0.2,0.0,16.5,0.7,37.4,9.6,26.4,0.5,1.9,23.5,2018-2019
0.0,0.0,0.0,186.0,161.0,156.0,166.0,23-4920-050,40.4,7.3,48.3,0.3,51.7,0.0,0.0,0.3,14.5,0.0,3.6,7.0,37.7,0.0,1.9,49.8,2018-2019
155.0,176.0,190.0,0.0,0.0,0.0,0.0,23-4920-055,45.1,7.9,48.7,0.0,51.3,0.0,0.4,0.0,17.9,0.2,1.7,7.3,39.8,0.0,1.9,49.0,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-4920-065,54.3,14.4,47.3,0.3,52.7,0.0,0.0,0.2,25.9,0.0,3.1,6.2,40.4,0.0,1.9,48.5,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-4920-070,55.1,17.7,44.0,0.8,56.0,0.0,0.0,0.2,17.1,0.2,2.7,4.7,40.3,0.2,3.3,48.6,2018-2019
0.0,0.0,0.0,170.0,158.0,167.0,176.0,23-4970-040,7.6,0.6,50.2,0.0,49.8,0.0,0.0,0.0,7.7,0.4,5.1,3.6,13.9,0.0,1.3,75.7,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-4970-050,14.7,1.2,44.9,0.2,55.1,0.0,1.2,0.0,16.2,0.2,7.5,3.1,17.1,0.0,2.7,69.3,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-4970-060,16.6,2.6,51.1,0.4,48.9,0.0,0.9,0.4,30.6,0.4,2.6,2.2,19.2,0.0,3.5,72.1,2018-2019
124.0,111.0,127.0,0.0,0.0,0.0,0.0,23-4970-090,15.5,2.2,48.6,0.0,51.4,0.0,0.0,0.0,11.9,0.0,6.4,5.2,15.7,0.0,2.5,70.2,2018-2019
0.0,0.0,0.0,320.0,329.0,318.0,344.0,23-5850-020,30.6,2.4,50.1,0.7,49.9,0.0,0.0,0.0,9.7,0.0,17.7,12.8,19.2,0.0,0.7,49.5,2018-2019
0.0,0.0,0.0,313.0,322.0,337.0,348.0,23-5850-040,40.6,4.1,51.4,0.7,48.6,0.0,0.0,0.0,8.0,0.0,45.0,8.9,24.8,0.0,1.1,20.3,2018-2019
207.0,199.0,182.0,0.0,0.0,0.0,0.0,23-5850-045,48.3,0.3,49.3,0.9,50.7,0.0,0.0,0.5,14.1,0.0,18.4,18.0,26.7,0.0,1.2,35.7,2018-2019
0.0,0.0,0.0,401.0,380.0,321.0,401.0,23-5850-050,41.1,2.9,45.3,1.3,54.7,0.0,0.0,0.1,13.1,0.0,12.1,15.4,34.8,0.0,1.1,36.6,2018-2019
197.0,231.0,193.0,0.0,0.0,0.0,0.0,23-5850-060,18.8,0.2,45.6,0.5,54.4,0.0,0.0,0.2,13.5,0.0,16.6,7.6,17.1,0.0,1.6,57.2,2018-2019
216.0,225.0,211.0,0.0,0.0,0.0,0.0,23-5850-070,49.7,0.3,51.5,0.3,48.5,0.0,0.0,0.3,13.2,0.0,14.4,10.9,44.6,0.0,1.5,28.5,2018-2019
271.0,235.0,257.0,0.0,0.0,0.0,0.0,23-5850-080,31.1,12.6,49.7,0.3,50.3,0.0,0.0,0.0,8.9,0.0,60.0,6.9,11.9,0.0,0.8,20.3,2018-2019
164.0,164.0,188.0,0.0,0.0,0.0,0.0,23-5850-090,42.0,1.2,50.9,0.8,49.1,0.0,0.0,0.0,10.8,0.0,9.1,12.6,35.9,0.0,2.0,40.3,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-100,46.5,1.3,51.0,0.3,49.0,0.0,0.0,1.5,8.8,0.3,17.0,17.5,26.5,0.0,0.0,38.8,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-110,20.0,1.3,49.8,1.3,50.2,0.0,0.6,0.0,6.7,0.0,41.0,4.8,12.1,0.0,2.5,39.7,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-120,20.2,26.4,43.6,0.0,56.4,0.0,0.3,0.0,6.8,0.0,32.9,3.9,15.0,0.0,1.3,46.9,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-140,34.4,0.8,53.3,0.0,46.7,0.0,0.0,0.4,9.8,0.0,15.2,7.0,29.9,0.0,3.3,44.7,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-150,33.4,0.2,39.5,1.6,60.5,0.0,0.5,1.1,50.6,0.0,15.6,9.9,27.8,0.0,3.2,43.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-160,20.8,15.5,46.1,0.0,53.9,0.0,0.2,0.0,8.6,0.0,74.3,3.7,11.2,0.0,0.4,10.4,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-180,28.6,21.7,41.3,0.0,58.7,0.0,0.3,0.3,25.5,0.0,50.6,9.6,20.8,0.0,1.9,17.1,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-200,43.7,14.1,48.9,0.0,51.1,0.0,0.2,0.2,9.7,0.0,36.2,12.6,33.5,0.0,1.0,16.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-210,18.3,1.4,39.4,0.3,60.6,0.0,0.0,0.6,39.4,0.0,32.1,7.3,14.4,0.0,2.3,43.9,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-220,18.7,2.2,54.4,0.8,45.6,0.0,0.0,0.0,9.6,0.0,37.9,7.7,12.9,0.0,2.5,39.0,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-230,39.1,2.3,50.9,0.6,49.1,0.0,0.3,0.0,11.2,0.0,22.1,10.9,34.2,0.0,1.1,31.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-240,14.9,1.4,51.0,0.0,49.0,0.0,0.0,0.0,11.8,0.0,12.8,6.4,17.6,0.0,2.0,61.1,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-260,35.3,26.8,48.5,0.0,51.5,0.0,0.0,0.0,12.1,0.0,10.9,5.0,40.6,0.0,3.8,39.7,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-275,45.0,1.8,50.9,0.5,49.1,0.0,0.3,0.5,21.6,0.0,9.2,10.2,34.9,0.0,2.0,43.8,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-280,56.5,1.8,52.1,1.6,47.9,0.0,0.0,0.8,13.3,0.0,10.9,14.3,45.1,0.0,2.3,27.3,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,29.0,23-5850-300,37.9,0.0,27.6,0.0,72.4,0.0,0.0,0.0,100.0,0.0,6.9,37.9,17.2,0.0,0.0,37.9,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-320,37.4,19.0,51.3,0.4,48.7,0.0,0.4,0.0,5.6,0.0,54.0,15.7,13.0,0.0,0.2,17.2,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-5850-402,17.6,24.2,48.3,0.0,51.7,0.0,0.2,0.0,2.2,0.0,88.1,2.6,3.8,0.0,0.6,5.0,2018-2019
0.0,0.0,0.0,117.0,131.0,77.0,73.0,25-0100-010,43.6,15.1,47.8,2.8,52.2,0.3,0.0,0.0,22.3,0.0,0.0,59.9,38.5,0.0,0.3,1.4,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-0100-020,63.8,5.8,51.4,2.5,48.6,0.0,0.0,1.4,11.6,0.0,0.0,66.7,29.7,0.0,0.0,3.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-0100-040,59.2,9.4,47.5,5.0,52.5,0.5,0.0,0.2,19.6,0.0,0.0,54.5,42.6,0.0,0.5,2.5,2018-2019
102.0,110.0,116.0,0.0,0.0,0.0,0.0,25-0100-070,55.5,7.9,44.5,3.0,55.5,0.3,0.0,0.3,16.8,0.0,0.0,53.0,45.4,0.0,0.0,1.5,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-0100-100,43.5,14.4,47.4,4.7,52.6,0.9,0.0,0.6,20.0,0.0,0.0,40.3,54.4,0.0,0.3,5.0,2018-2019
39.0,0.0,0.0,0.0,0.0,0.0,0.0,25-0130-020,7.8,1.0,48.5,0.0,51.5,0.0,1.0,0.3,20.5,0.3,2.0,1.3,5.9,0.0,3.9,86.6,2018-2019
19.0,11.0,23.0,0.0,0.0,0.0,0.0,25-0180-010,13.8,5.8,55.8,0.0,44.2,0.0,0.0,0.0,12.3,0.0,1.4,1.4,14.5,0.0,0.0,82.6,2018-2019
7.0,3.0,5.0,8.0,5.0,2.0,5.0,25-0225-030,10.9,0.0,17.4,0.0,82.6,0.0,0.0,2.2,100.0,0.0,6.5,10.9,10.9,0.0,0.0,71.7,2018-2019
65.0,59.0,46.0,0.0,0.0,0.0,0.0,25-0270-020,57.7,11.4,48.2,1.1,51.8,0.0,0.0,0.2,21.9,0.2,1.5,5.1,50.7,0.2,3.4,38.9,2018-2019
28.0,28.0,35.0,0.0,0.0,0.0,0.0,25-0500-020,69.0,17.1,49.8,0.0,50.2,0.0,0.0,0.3,19.5,0.0,0.7,4.5,65.5,0.7,2.8,25.8,2018-2019
54.0,68.0,61.0,0.0,0.0,0.0,0.0,25-0560-020,4.7,0.6,49.3,0.0,50.7,0.0,0.0,0.0,17.5,0.4,0.6,0.8,4.5,0.2,1.3,92.3,2018-2019
109.0,115.0,111.0,0.0,0.0,0.0,0.0,25-0945-030,0.6,1.5,50.1,0.0,49.9,0.0,1.8,0.0,16.7,0.0,2.4,2.1,3.6,0.3,0.0,91.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-0945-050,3.6,2.2,48.4,0.0,51.6,0.0,2.5,0.4,16.4,0.0,2.2,0.7,3.6,0.0,0.0,93.5,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-0945-060,1.4,2.2,48.6,0.0,51.4,0.0,4.7,0.0,18.1,0.3,2.5,1.4,4.1,0.3,1.6,89.8,2018-2019
15.0,22.0,23.0,0.0,0.0,0.0,0.0,25-1000-040,0.0,0.0,49.4,0.0,50.6,0.0,0.0,0.0,2.4,0.0,3.0,14.9,10.7,0.0,1.2,70.2,2018-2019
104.0,0.0,0.0,0.0,0.0,0.0,0.0,25-1260-060,38.9,3.5,47.0,3.0,53.0,0.0,0.0,0.0,27.8,0.0,10.1,18.7,26.3,0.0,4.5,40.4,2018-2019
0.0,110.0,107.0,0.0,0.0,0.0,0.0,25-1260-070,40.1,5.5,51.6,3.7,48.4,0.0,0.0,0.5,24.9,0.9,13.4,19.8,26.3,0.0,0.9,38.7,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-1260-080,50.3,13.5,52.4,3.1,47.6,0.0,0.0,0.0,17.4,0.0,10.4,18.4,20.5,0.0,7.3,43.4,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-1260-110,45.7,9.0,41.2,2.9,58.8,0.0,0.0,0.0,29.4,0.0,11.4,16.3,27.3,0.0,5.3,39.6,2018-2019
116.0,109.0,106.0,0.0,0.0,0.0,0.0,25-1440-050,1.2,0.4,45.9,0.0,54.1,0.0,0.0,0.0,17.2,0.2,0.9,0.4,2.0,0.4,1.8,94.5,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-1440-060,0.2,0.0,47.6,0.0,52.4,0.0,0.0,0.0,19.4,0.0,1.2,0.0,2.0,0.0,1.0,95.8,2018-2019
15.0,19.0,13.0,0.0,0.0,0.0,0.0,25-1490-050,26.4,0.0,52.0,0.7,48.0,0.0,0.0,0.0,19.6,0.0,1.4,9.5,12.8,0.7,8.1,67.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-1640-040,84.5,24.8,46.5,0.2,53.5,0.3,0.2,0.0,19.9,0.0,1.6,7.7,80.5,0.0,0.8,9.4,2018-2019
191.0,167.0,164.0,0.0,0.0,0.0,0.0,25-1640-060,72.2,5.9,49.6,0.2,50.4,0.6,0.6,0.2,19.2,0.0,1.5,9.2,73.6,0.2,1.0,14.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-1640-070,81.2,17.2,45.4,0.8,54.6,0.6,0.4,0.2,20.5,0.0,1.1,6.9,79.5,0.0,1.0,11.5,2018-2019
0.0,0.0,0.0,338.0,322.0,338.0,366.0,25-1650-010,8.6,7.8,48.1,0.3,51.9,0.0,0.0,0.0,14.6,0.1,9.6,1.5,11.7,0.4,0.7,76.1,2018-2019
0.0,0.0,0.0,357.0,317.0,339.0,344.0,25-1650-050,22.7,0.3,45.2,0.4,54.8,0.0,0.0,0.1,18.0,0.0,9.4,8.1,30.9,0.2,0.7,50.6,2018-2019
0.0,0.0,0.0,493.0,521.0,490.0,509.0,25-1650-055,10.0,0.1,51.4,0.3,48.6,0.0,0.0,0.1,16.6,0.0,6.7,4.6,12.0,0.3,0.9,75.6,2018-2019
0.0,0.0,0.0,545.0,503.0,504.0,544.0,25-1650-060,7.1,0.0,54.0,0.2,46.0,0.0,0.0,0.0,16.4,0.1,3.7,3.2,9.5,0.2,1.1,82.2,2018-2019
0.0,0.0,0.0,441.0,478.0,492.0,446.0,25-1650-070,7.4,0.1,44.6,0.1,55.4,0.0,0.1,0.0,15.3,0.0,8.0,2.4,7.6,0.3,2.3,79.5,2018-2019
0.0,0.0,0.0,460.0,420.0,482.0,446.0,25-1650-080,4.2,0.2,47.0,0.2,53.0,0.0,0.0,0.1,14.0,0.0,18.5,1.6,5.9,0.1,1.9,72.0,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-1660-020,10.7,1.0,46.6,0.0,53.4,0.0,0.0,0.0,12.2,0.2,9.1,5.4,8.2,0.0,2.3,74.8,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-1660-021,12.0,0.0,42.6,0.2,57.4,0.0,0.0,0.5,20.7,0.0,10.4,4.7,11.1,1.6,1.4,70.8,2018-2019
243.0,211.0,216.0,0.0,0.0,0.0,0.0,25-1660-023,11.9,1.3,48.4,0.3,51.6,0.0,0.0,0.0,14.9,0.9,5.1,3.7,9.7,0.3,1.0,79.3,2018-2019
233.0,208.0,238.0,0.0,0.0,0.0,0.0,25-1660-024,10.9,0.0,47.6,0.6,52.4,0.0,0.3,0.0,16.8,0.3,11.2,4.3,9.7,0.7,0.7,73.0,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-1660-025,12.6,0.9,54.8,0.7,45.2,0.0,0.2,0.0,13.7,0.0,4.3,2.5,11.5,0.2,2.9,78.7,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-1660-026,17.6,9.0,50.9,0.2,49.1,0.0,0.0,0.0,12.2,0.2,5.9,3.6,22.9,0.5,1.4,65.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-1660-030,10.3,0.2,46.7,0.2,53.3,0.0,0.2,0.4,17.2,2.0,6.1,4.1,9.1,0.2,0.8,77.7,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-1660-070,34.3,6.1,40.4,0.0,59.6,0.0,0.0,2.0,45.5,1.0,1.0,2.0,26.3,1.0,5.1,63.6,2018-2019
0.0,0.0,0.0,218.0,232.0,215.0,236.0,25-2105-050,18.8,0.7,46.7,0.3,53.3,0.0,0.0,0.2,18.8,0.0,3.6,2.1,10.3,0.0,0.6,83.4,2018-2019
110.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2105-060,18.8,0.0,48.9,0.9,51.1,0.0,0.0,0.9,20.6,0.0,2.2,0.9,11.2,0.0,2.7,83.0,2018-2019
99.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2105-070,21.3,1.6,44.8,0.0,55.2,0.0,0.5,0.0,19.1,0.0,3.3,0.5,14.8,0.0,1.6,79.8,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2105-085,19.7,1.2,51.6,0.0,48.4,0.0,0.4,0.0,20.9,0.0,2.4,1.6,19.7,0.0,2.8,73.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2105-090,17.0,1.1,51.5,0.0,48.5,0.0,0.0,1.1,20.7,0.0,1.9,0.4,10.7,0.0,4.8,82.2,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2105-095,17.7,4.0,48.4,0.8,51.6,0.0,0.0,0.0,35.1,0.0,2.0,1.2,17.7,0.0,0.8,78.2,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2105-100,18.6,2.9,45.9,0.3,54.1,0.0,0.3,0.3,25.7,0.0,2.3,2.3,13.7,0.0,1.6,80.1,2018-2019
0.0,221.0,230.0,0.0,0.0,0.0,0.0,25-2105-105,18.6,0.2,49.7,0.7,50.3,0.0,0.0,0.2,17.3,0.0,2.9,1.6,11.1,0.2,2.2,82.0,2018-2019
0.0,70.0,60.0,55.0,39.0,52.0,37.0,25-2120-050,24.6,2.2,54.3,0.6,45.7,0.0,0.0,0.0,19.2,0.0,1.0,4.3,9.6,0.3,1.1,83.7,2018-2019
29.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2160-050,48.1,4.8,47.1,2.7,52.9,0.0,0.0,0.0,25.7,0.0,1.1,3.2,15.5,0.0,1.6,78.6,2018-2019
0.0,0.0,0.0,240.0,241.0,221.0,256.0,25-2230-020,1.5,1.4,50.3,0.1,49.7,0.0,0.0,0.0,14.1,0.2,17.5,1.6,4.6,1.0,1.6,73.6,2018-2019
0.0,262.0,262.0,0.0,0.0,0.0,0.0,25-2230-030,1.1,0.8,49.4,0.0,50.6,0.0,0.0,0.0,11.1,0.2,18.3,1.1,2.7,0.6,11.8,65.3,2018-2019
260.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2230-050,0.8,0.9,46.4,0.0,53.6,0.0,0.0,0.0,13.4,0.1,18.8,1.1,3.9,0.1,3.4,72.5,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2230-080,1.0,2.0,46.6,0.0,53.4,0.0,0.0,0.0,18.1,0.0,16.8,1.1,7.0,0.3,7.1,67.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2290-003,26.9,25.2,47.3,0.0,52.7,0.0,0.0,0.3,15.5,0.0,9.2,2.3,27.5,0.0,4.0,57.0,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2290-005,14.5,0.8,50.4,0.5,49.6,0.0,0.0,0.5,16.8,0.0,1.8,3.6,14.7,0.3,3.6,76.0,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2290-010,23.6,15.5,52.5,0.6,47.5,0.0,0.0,0.0,18.8,0.0,10.1,2.7,22.1,0.0,3.6,61.5,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2290-012,10.8,2.2,51.9,1.0,48.1,0.0,0.0,0.0,20.7,0.0,2.2,1.0,17.8,0.0,1.6,77.4,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2290-020,21.5,0.4,46.7,2.1,53.3,0.0,0.0,0.8,38.4,0.0,7.4,5.4,15.7,0.0,4.5,66.9,2018-2019
381.0,368.0,358.0,0.0,0.0,0.0,0.0,25-2290-025,16.9,2.1,51.2,0.3,48.8,0.0,0.0,0.2,15.4,0.1,7.2,5.1,12.9,0.3,2.5,71.9,2018-2019
301.0,298.0,329.0,0.0,0.0,0.0,0.0,25-2290-027,15.0,0.4,49.5,0.2,50.5,0.0,0.0,0.0,21.9,0.0,3.4,3.6,15.1,0.2,1.6,76.1,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2290-030,14.8,1.3,42.2,0.4,57.8,0.0,0.0,0.4,38.6,0.0,3.8,3.1,16.6,0.2,5.6,70.8,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2290-032,17.2,0.8,51.5,0.0,48.5,0.0,0.0,0.0,12.9,0.0,4.0,5.1,16.2,0.0,3.8,71.0,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2290-035,11.8,1.4,50.4,0.3,49.6,0.0,0.0,0.0,16.2,0.0,1.4,2.2,16.8,0.0,2.0,77.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2290-045,18.4,1.0,41.4,0.3,58.6,0.0,0.0,0.3,26.3,0.0,7.9,6.3,16.1,0.0,4.3,65.5,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2290-060,9.4,0.5,51.7,0.8,48.3,0.0,0.0,0.8,24.4,0.0,3.6,2.6,13.8,0.0,7.0,73.0,2018-2019
0.0,0.0,0.0,83.0,92.0,94.0,95.0,25-2400-010,38.1,1.7,48.6,3.3,51.4,0.0,0.0,0.6,28.1,0.8,2.2,17.2,24.6,0.0,0.3,54.9,2018-2019
107.0,124.0,122.0,0.0,0.0,0.0,0.0,25-2400-030,49.7,2.0,47.8,2.2,52.2,0.0,0.0,1.4,27.5,0.0,0.3,24.2,27.2,0.3,0.8,47.2,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2400-040,49.8,0.0,46.9,1.4,53.1,0.0,0.0,2.4,19.0,0.0,0.9,13.7,28.0,0.9,2.8,53.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2400-050,55.2,4.6,52.9,2.6,47.1,0.1,0.0,1.1,17.7,0.0,1.4,21.7,21.4,0.4,1.1,53.9,2018-2019
0.0,0.0,0.0,84.0,97.0,93.0,86.0,25-2430-050,40.0,1.4,45.3,0.8,54.7,0.0,0.0,0.3,15.0,0.0,1.7,7.4,25.8,0.0,0.3,64.9,2018-2019
73.0,63.0,79.0,0.0,0.0,0.0,0.0,25-2430-060,52.0,10.4,49.5,1.2,50.5,0.0,0.0,0.0,14.6,0.0,1.0,7.4,37.1,0.1,0.6,53.7,2018-2019
87.0,105.0,86.0,0.0,0.0,0.0,0.0,25-2720-050,0.0,0.0,53.5,0.0,46.5,0.0,0.0,0.0,16.3,0.0,4.2,0.3,2.9,0.3,0.8,91.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2720-060,0.7,0.0,51.9,0.4,48.1,0.0,0.0,0.0,13.4,0.0,2.4,0.4,4.6,0.0,1.1,91.4,2018-2019
0.0,0.0,0.0,393.0,384.0,335.0,352.0,25-2770-050,74.8,14.0,47.3,1.3,52.7,0.0,0.0,0.3,12.1,0.1,1.1,19.3,53.6,0.0,0.8,25.1,2018-2019
423.0,410.0,395.0,0.0,0.0,0.0,0.0,25-2770-060,84.8,12.8,47.8,1.5,52.2,0.2,0.1,0.1,15.4,0.2,1.1,15.3,59.4,0.0,2.2,21.8,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2770-065,85.0,19.4,43.9,1.9,56.1,0.4,0.6,0.0,28.6,0.0,0.6,14.2,50.5,0.2,3.7,30.8,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2770-080,86.2,64.8,49.2,1.3,50.8,0.0,0.0,0.5,7.0,0.0,0.5,10.1,57.5,0.0,2.3,29.6,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2770-085,76.4,45.7,57.4,1.8,42.6,0.3,0.0,0.0,6.4,0.0,0.6,8.6,58.0,0.0,6.4,26.4,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2770-110,84.1,13.9,46.7,3.0,53.3,0.2,0.2,0.2,21.0,0.0,0.9,26.4,48.1,0.0,4.8,19.8,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2770-120,87.6,54.9,47.4,1.8,52.6,0.0,0.0,0.0,13.7,0.3,0.5,13.4,57.2,0.0,3.6,25.0,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2770-300,92.7,49.3,50.2,1.8,49.8,0.6,0.1,0.4,4.1,0.1,0.6,8.0,61.4,0.0,1.8,28.1,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2920-050,7.2,0.4,49.9,0.0,50.1,0.0,0.0,0.0,16.2,0.0,6.8,1.0,10.4,0.0,2.3,79.5,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2920-055,1.9,0.2,49.1,0.0,50.9,0.0,0.0,0.0,13.0,0.0,11.3,0.4,8.9,0.0,3.5,75.9,2018-2019
0.0,627.0,625.0,0.0,0.0,0.0,0.0,25-2920-060,7.2,0.3,48.2,0.1,51.8,0.0,0.0,0.1,15.6,0.1,10.6,1.4,8.7,0.1,2.2,76.9,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2920-063,9.2,4.9,49.8,0.0,50.2,0.0,0.0,0.0,12.6,0.0,7.1,2.2,11.4,0.0,4.0,75.3,2018-2019
565.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2920-075,4.8,0.4,47.3,0.0,52.7,0.0,0.0,0.0,13.5,0.2,9.6,1.4,9.7,0.0,1.4,77.7,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2920-090,15.6,5.0,47.8,0.2,52.2,0.0,0.0,0.0,19.4,0.0,6.6,3.6,14.9,0.0,2.7,72.1,2018-2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-2920-110,3.6,0.6,47.3,0.2,52.7,0.0,0.0,0.3,10.6,0.0,19.8,2.2,6.3,0.0,3.3,68.4,2018-2019
