county_name,district_name,school_name,street_address,city,state,zipcode,zipcode_extn,county_district_school_code
Hudson,Jersey City Public Schools,Henry Snyder High School,239 BERGEN AVE,JERSEY CITY,NJ,07305,1524,17-2390-050
Monmouth,Neptune Township School District,Gables Elementary School,1 Gables Court,NEPTUNE,NJ,07753,4299,25-3510-061
Ocean,Pinelands Regional School District,Pinelands Regional High School,565 Nugentown Road,Little Egg Harbor,NJ,08087,0248,29-4105-050
Morris,Parsippany-Troy Hills Township School District,Mount Tabor Elementary School,900 PARK RD & ROUTE 53,MOUNT TABOR,NJ,07878,,27-3950-100
Mercer,Area Vocational Technical Schools of Mercer County,Mercer County Technical School Culinary Arts Academy,129 Bull Run Road,Pennington,NJ,08534,,21-3105-300
Atlantic,Ventnor City School District,Ventnor Elementary School,400 N  LAFAYETTE AVENUE,VENTNOR,NJ,08406,,01-5350-045
Morris,Kinnelon School District,Pearl R. Miller Middle School,117 KIEL AVENUE,KINNELON,NJ,07405,,27-2460-065
Middlesex,Carteret Public School District,Carteret Junior High School,195 Washington Ave,Carteret,NJ,07008,,23-0750-300
Cumberland,Millville School District,Memorial High School,504 EAST BROAD STREET,MILLVILLE,NJ,08332,,11-3230-060
Bergen,Harrington Park School District,Harrington Park School,191 HARRIOT AVE,HARRINGTON PARK,NJ,07640,1401,03-2050-050
Essex,East Orange School District,Wahlstrom Early Childhood Academy,340 PROSPECT STREET,EAST ORANGE,NJ,07017,,13-1210-210
Essex,Nutley Public School District,John H. Walker Middle School,325 FRANKLIN AVE,NUTLEY,NJ,07110,2735,13-3750-060
Monmouth,Township of Ocean School District,Ocean Township High School,550 WEST PARK AVENUE,OAKHURST,NJ,07755,1098,25-3810-030
Camden,Lawnside School Distric,Lawnside School,426 EAST CHARLESTON AVE,LAWNSIDE,NJ,08045,1404,07-2560-060
Passaic,Little Falls Township Public School District,Little Falls Township Public School # 1,Little Falls School # 1,LITTLE FALLS,NJ,07424,1082,31-2700-050
Camden,Collingswood Public School District,Collingswood Pre School at Oaklyn,136 Kendall Blvd,Oaklyn,NJ,08107,,07-0940-300
Bergen,Lodi School District,Roosevelt School,435 PASSAIC AVENUE,LODI,NJ,07644,,03-2740-080
Bergen,River Dell Regional School District,River Dell Regional High School,55 PYLE STREET,ORADELL,NJ,07649,,03-4405-050
Burlington,Hainesport Township School District,Hainesport Township School,211 BROAD STREET,HAINESPORT,NJ,08036,,05-1910-050
Monmouth,Atlantic Highlands School District,Atlantic Highlands Elementary School,140 FIRST AVENUE,ATLANTIC HIGHLANDS,NJ,07716,1238,25-0130-020
Bergen,Bergenfield Borough School District,Bergenfield High School,80 S PROSPECT AVE,BERGENFIELD,NJ,07621,1958,03-0300-020
Bergen,Franklin Lakes School District,High Mountain Road School,765 High Mountain Road,Franklin Lakes,NJ,07417,2914,03-1580-020
Morris,Hanover Township School District,Memorial Junior School,61 Highland Avenue,Whippany,NJ,07981,,27-2000-040
Charters,Link Community Charter School,Link Community Charter School,23 Pennsyvania Ave,Newark,NJ,07114,,80-6099-986
Charters,Trenton Stem-to-Civics Charter School,Trenton Stem-to-Civics Charter School,1555 Pennington Raod,Ewing,NJ,08618,,80-6183-914
Bergen,Saddle Brook School District,Washington School,225 Market Street,Saddle Brook,NJ,07663,,03-4610-100
Ocean,Ocean Township School District,Frederic A. Priff Elementary School,139 WELLS MILL ROAD,WARETOWN,NJ,08758,2606,29-3820-030
Essex,Newark Public School District,Quitman Street School,21 QUITMAN ST,NEWARK,NJ,07103,4105,13-3570-605
