county_name,district_name,school_name,street_address,city,state,zipcode,zipcode_extn,county_district_school_code
Middlesex,Edison Township School District,Edison High School,50 BOULEVARD OF THE EAGLES,EDISON,NJ,08817,,23-1290-050
Burlington,Cinnaminson Township School District,Eleanor Rush Intermediate School,1200 WYNWOOD DRIVE,CINNAMINSON,NJ,08077,2404,05-0840-060
Bergen,South Hackensack School District,Memorial School,DYER AVENUE,SOUTH HACKENSACK,NJ,07606,1537,03-4870-050
Essex,Fairfield Public Schools School District,Stevenson,15 KNOLL ROAD,FAIRFIELD,NJ,07004,,13-1465-005
Hunterdon,North Hunterdon-Voorhees Regional High School District,North Hunterdon High School,1445 State Route 31,Annandale,NJ,08801,,19-3660-050
Middlesex,East Brunswick Township School District,Central Elementary School,371 CRANBURY ROAD,EAST BRUNSWICK,NJ,08816,,23-1170-070
Passaic,Bloomingdale School District,Martha B. Day Elementary School,225 RAFKIND ROAD,BLOOMINGDALE,NJ,07403,,31-0420-020
Ocean,Brick Township Public School District,Lanes Mill Elementary School,1891 LANES MILL RD,BRICK,NJ,08724,1445,29-0530-045
Burlington,Florence Township School District,Roebling Elementary School,1330 HORNBERGER AVE,ROEBLING,NJ,08554,,05-1520-070
Camden,Cherry Hill School District,Bret Harte Elementary School,1909 Queen Anne Dr.,CHERRY HILL,NJ,08003,2843,07-0800-068
Cumberland,Millville School District,Lakeside Middle School,2 N  SHARP ST,MILLVILLE,NJ,08332,,11-3230-077
Middlesex,East Brunswick Township School District,Memorial Elementary School,14 INNES ROAD,E BRUNSWICK,NJ,08816,,23-1170-120
Burlington,Mount Holly Township Public School District,Gertrude C. Folwell Elementary School,455 JACKSONVILLE RD,MOUNT HOLLY,NJ,08060,9622,05-3430-050
Monmouth,Middletown Township Public School District,Bayshore Middle School,834 LEONARDVILLE ROAD,LEONARDO,NJ,07737,1796,25-3160-055
Middlesex,Edison Township School District,Thomas Jefferson Middle School,450 DIVISION STREET,EDISON,NJ,08817,,23-1290-060
Essex,Newark Public School District,Branch Brook School,228 RIDGE ST,NEWARK,NJ,07104,1204,13-3570-270
Morris,Rockaway Borough School District,Lincoln Elementary School,37 KELLER AVENUE,ROCKAWAY,NJ,07866,3921,27-4480-060
Burlington,Evesham Township School District,Marlton Elementary,190 TOMLINSON MILL ROAD,MARLTON,NJ,08053,,05-1420-058
Monmouth,Union Beach Public School District,Memorial School,221 MORNINGSIDE AVENUE,UNION BEACH,NJ,07735,3098,25-5230-050
Atlantic,Galloway Township Public Schools,Arthur Rann Elementary School,515 S EIGHTH AVE,GALLOWAY,NJ,08205,,01-1690-015
Monmouth,Matawan-Aberdeen Regional School District,Cambridge Park Elementary School,One Crest Way,Aberdeen,NJ,07747,,25-3040-040
Morris,Dover Public School District,Dover Middle School,302 EAST MCFARLAN STREET,DOVER,NJ,07801,,27-1110-065
Cumberland,Bridgeton City School District,Bridgeton High School,111 N WEST AVENUE,BRIDGETON,NJ,08302,,11-0540-020
Middlesex,Middlesex County Vocational and Technical School District,Middlesex County Voc Academy Math Science &Engineering Technologies,100 TECHNOLOGY DRIVE,EDISON,NJ,08837,,23-3150-010
Union,Plainfield Public School District,Jefferson Elementary School,1700 W. FRONT ST,PLAINFIELD,NJ,07063,,39-4160-150
Hunterdon,Clinton Township School District,Clinton Township Middle School,34 GRAYROCK ROAD,CLINTON,NJ,08809,,19-0920-050
Monmouth,Manalapan-Englishtown Regional Schools School District,Clark Mills School,34 GORDONS CORNER ROAD,MANALAPAN,NJ,07726,3798,25-2920-050
Bergen,Tenafly Public School District,J Spencer Smith School,101 DOWNEY DRIVE,TENAFLY,NJ,07670,,03-5160-070
Middlesex,Metuchen Public School District,Mildred B. Moss Elementary School,16 SIMPSON PLACE,METUCHEN,NJ,08840,,23-3120-090
Passaic,Wayne Township Public School District,Pines Lake Elementary School,511 PINES LAKE DRIVE,WAYNE,NJ,07470,,31-5570-120
Essex,Newark Public School District,Lincoln,87 RICHELIEU TER,NEWARK,NJ,07106,2419,13-3570-490
Hudson,Bayonne School District,Bayonne Alternative High School,669 Avenue A,Bayonne,NJ,07002,,17-0220-010
Mercer,Hamilton Township Public School District,Kisthardt Elementary School,215 HARCOURT DRIVE,HAMILTON,NJ,08610,4213,21-1950-150
Ocean,Brick Township Public School District,Brick Township High School,346 CHAMBERS BRIDGE RD,BRICK TOWN,NJ,08723,2804,29-0530-020
Essex,East Orange School District,J. Garfield Jackson Sr. Academy,106 PROSPECT STREET,EAST ORANGE,NJ,07017,2203,13-1210-170
Bergen,Waldwick School District,Crescent Elementary School,165 CRESCENT AVENUE,WALDWICK,NJ,07463,,03-5410-040
Bergen,Garfield Public School District,Garfield High School,500 PALISADE AVE,GARFIELD,NJ,07026,2637,03-1700-050
Monmouth,Red Bank Borough Public School District,Red Bank Primary School,222 RIVER STREET,RED  BANK,NJ,07701,1397,25-4360-075
Passaic,Pompton Lakes School District,Lakeside School,316 LAKESIDE AVENUE,POMPTON LAKES,NJ,07442,1299,31-4230-055
Salem,Pittsgrove Township School District,Elmer Elementary School,207 Front Street,Elmer,NJ,08318,,33-4150-080
Camden,Voorhees Township School District,Voorhees Middle School,1000 HOLLY OAK DR,VOORHEES,NJ,08043,,07-5400-100
Hunterdon,South Hunterdon Regional School District,South Hunterdon Regional High School,301 Mt Airy Harbourton Rd,Lambertville,NJ,08530,,19-1376-050
Essex,Belleville Public School District,Sandy Lane Nursery School,-,- - -,NJ,,,13-0250-301
Burlington,Shamong Township School District,Indian Mills Elementary School,112 INDIAN MILLS ROAD,SHAMONG,NJ,08088,9512,05-4740-050
Gloucester,Mantua Township School District,Sewell Elementary School,40 MCANALLY DR,SEWELL,NJ,08080,,15-2990-050
Essex,East Orange School District,Cicely L. Tyson Community Elementary School,45 North Arlington Street,EAST ORANGE,NJ,07017,,13-1210-140
Bergen,Closter Public School District,Tenakill Middle School,275 High Street,CLOSTER,NJ,07624,1809,03-0930-060
Charters,College Achieve Paterson Charter School,College Achieve Paterson Charter School,21 Market Street,Paterson,NJ,07501,,80-7892-909
Hudson,Jersey City Public Schools,Dr. Charles P. DeFuccio School,214 PLAINFIELD AVE,JERSEY CITY,NJ,07306,7006,17-2390-330
Ocean,Toms River Regional School District,Toms River High School North,1245 OLD FREEHOLD ROAD,TOMS RIVER,NJ,08753,1304,29-5190-040
Morris,Jefferson Township Public School District,Jefferson Township High School,1010 WELDON RD   RD2,OAK RIDGE,NJ,07438,9511,27-2380-020
Burlington,Delanco Township School District,M. Joan Pearson Elementary School,1301 BURLINGTON AVE,DELANCO,NJ,08075,,05-1030-030
Hudson,Weehawken Public School District,Weehawken High School,53 LIBERTY PLACE,WEEHAWKEN,NJ,07086,,17-5580-050
Mercer,West Windsor-Plainsboro Regional School District,Village Elementary School,601 NEW VILLAGE ROAD,West Windsor,NJ,08550,,21-5715-160
Monmouth,Middletown Township Public School District,Ocean Avenue Elementary School,235 OCEAN AVENUE,NORTH MIDDLETOWN,NJ,07748,2798,25-3160-080
Passaic,Passaic City School District,Theodore Roosevelt School No. 10,151 Harrison St.,Passaic,NJ,07055,,31-3970-130
Gloucester,Woodbury City Public School District,West End Memorial Elementary School,215 Queen Street,Woodbury,NJ,08096,,15-5860-110
Union,Elizabeth Public Schools,George Washington Academy School No. 1,250 BROADWAY,ELIZABETH,NJ,07206,1857,39-1320-090
Camden,Gloucester City Public School District,Cold Springs School,1194 MARKET STREET,GLOUCESTER CITY,NJ,08030,,07-1770-160
Morris,Denville Township K-8 School District,Lakeview Elementary School,44 COOPER ROAD,DENVILLE,NJ,07834,,27-1090-050
Camden,Collingswood Public School District,Mark Newbie Elementary School,2 EAST BROWNING RD,COLLINGSWOOD,NJ,08108,,07-0940-060
Essex,Newark Public School District,Technology High School,223 BROADWAY,NEWARK,NJ,07102,,13-3570-056
Hudson,Bayonne School District,Nicholas Oresko Community School,33 East 24th Street,BAYONNE,NJ,07002,,17-0220-140
Essex,South Orange-Maplewood School District,Columbia High School,17 PARKER AVE,MAPLEWOOD,NJ,07040,1327,13-4900-030
Bergen,Garfield Public School District,Washington Irving School #4,12 MADONNA PLACE,GARFIELD,NJ,07026,,03-1700-120
Essex,Newark Public School District,Mt Vernon Place School,142 MOUNT VERNON PL,NEWARK,NJ,07106,3303,13-3570-570
Mercer,West Windsor-Plainsboro Regional School District,J.V.B. Wicoff Elementary School,510 PLAINSBORO ROAD,PLAINSBORO,NJ,08536,,21-5715-050
Somerset,Bridgewater-Raritan Regional School District,Adamsville Primary School,400 Union Avenue,Bridgewater,NJ,08807,,35-0555-030
Charters,Unity Charter School,Unity Charter School,1 Evergreen Place,MORRISTOWN,NJ,07960,,80-8050-990
Union,Cranford Public School District,Bloomingdale Avenue School,200 BLOOMINGDALE AVENUE,CRANFORD,NJ,07016,,39-0980-040
Monmouth,Wall Township Public School District,Old Mill Elementary School,2119 OLD MILL ROAD,SEA GIRT,NJ,08750,1199,25-5420-077
Bergen,Lodi School District,Columbus School,370 WESTERVELT PLACE,LODI,NJ,07644,,03-2740-060
Monmouth,Middletown Township Public School District,Harmony Elementary School,100 Murphy Road,NEW MONMOUTH,NJ,07748,1699,25-3160-095
Cumberland,Vineland Public School District,Thomas W. Wallace Jr. Middle School,688 NORTH MILL ROAD,VINELAND,NJ,08360,2635,11-5390-280
Burlington,Maple Shade School District,Howard R. Yocum Elementary School,748 NORTH FORKLANDING ROAD,MAPLE SHADE,NJ,08052,,05-3010-090
Union,Elizabeth Public Schools,Frances C. Smith Early Childhood Center No 50,1000 SOUTH ELMORA AVE,ELIZABETH,NJ,07202,,39-1320-350
Burlington,Pemberton Township School District,Fort Dix Elementary School,1199 FORT DIX  JULIUSTOWN ROAD,FORT DIX,NJ,08640,5780,05-4050-110
Union,Township of Union School District,Hannah Caldwell Elementary,1120 COMMERCE AVENUE,UNION,NJ,07083,,39-5290-083
Union,Elizabeth Public Schools,Ronald Reagan Academy School No. 30,730 PENNSYLVANIA AVE,ELIZABETH,NJ,07208,,39-1320-305
Monmouth,Freehold Township School District,Early Childhood Learning Center,610 STILLWELLS CORNER ROAD,FREEHOLD,NJ,07728,,25-1660-070
Camden,Pennsauken Township Board of Education School District,Baldwin Elementary School,41ST & SHARON TERRACE,PENNSAUKEN,NJ,08110,,07-4060-090
Middlesex,Woodbridge Township School District,Iselin Middle School,900 WOODRUFF STREET,ISELIN,NJ,08830,,23-5850-080
Gloucester,Mantua Township School District,J. Mason Tomlin Elementary School,393 MAIN ST,MANTUA,NJ,08051,,15-2990-040
Hudson,Jersey City Public Schools,Gladys Nunery School,123 CLAREMONT AVE,JERSEY CITY,NJ,07305,3603,17-2390-260
Middlesex,North Brunswick Township School District,North Brunswick Twp. Middle School,100 Renaissance Blvd,North Brunswick,NJ,08902,,23-3620-300
Essex,Newark Public School District,Hawkins Street School,8 HAWKINS ST,NEWARK,NJ,07105,3918,13-3570-460
Essex,West Orange Public Schools,Mount Pleasant Elementary School,9 MANGER ROAD,WEST ORANGE,NJ,07052,,13-5680-140
Middlesex,Edison Township School District,James Madison Primary School,840 NEW DOVER ROAD,EDISON,NJ,08820,,23-1290-092
Union,Township of Union School District,Connecticut Farms Elementary,875 STUYVESANT AVENUE,UNION,NJ,07083,,39-5290-090
Charters,Marion P. Thomas Charter School,Marion P. Thomas Charter School,88-108 Shipman Street,NEWARK,NJ,07102,,80-7210-940
Union,Roselle Public Schools,Kindergarten Success Academy,150 EAST 3RD AVENUE,ROSELLE,NJ,07203,,39-4540-300
Morris,Randolph Township School District,Shongum School,9 ARROW PLACE,RANDOLPH,NJ,07869,,27-4330-080
Morris,Parsippany-Troy Hills Township School District,Parsippany High School,309 Baldwin Rd,Parsippany,NJ,07054,,27-3950-050
Bergen,Bergen County Vocational Technical School District,Bergen County Academies,200 Hackensack Avenue,Hackensack,NJ,07601,6110,03-0290-020
Bergen,Hasbrouck Heights School District,Hasbrouck Heights High School,365 BOULEVARD,HASBROUCK HEIGHTS,NJ,07604,1402,03-2080-050
Union,Summit Public School District,Washington Elementary School,507 MORRIS AVE,SUMMIT,NJ,07901,1544,39-5090-120
Essex,Newark Public School District,Barringer High School,90 PARKER ST,NEWARK,NJ,07104,1028,13-3570-020
Burlington,Willingboro Public School District,Levitt Intermediate School,"80 Martin Luther King, Jr. Pkwy",Willingboro,NJ,08046,,05-5805-301
Middlesex,Jamesburg Public School District,John F. Kennedy Elementary School,28 FRONT STREET,JAMESBURG,NJ,08831,,23-2370-080
Monmouth,Middletown Township Public School District,Port Monmouth Elementary School,202 MAIN STREET,PORT MONMOUTH,NJ,07758,1299,25-3160-150
Passaic,Clifton Public School District,Clifton Early Learner Academies,290 Brighton Road,Clifton,NJ,07012,,31-0900-301
Middlesex,Monroe Township School District,Brookside Elementary School,370 BUCKELEW AVENUE,MONROE TOWNSHIP,NJ,08831,,23-3290-050
Essex,Newark Public School District,Malcolm X Shabazz High School,80 JOHNSON AVE,NEWARK,NJ,07108,,13-3570-050
Essex,Essex Fells School District,Essex Fells Elementary School,102 HAWTHORNE RD,ESSEX FELLS,NJ,07021,1120,13-1400-050
Gloucester,Washington Township School District,Grenloch Terrace Early Childhood Center,251 WOODBURY  TURNERSVILLE RD,SEWELL,NJ,08080,,15-5500-030
Gloucester,Delsea Regional High School District,Delsea Regional Middle School,FRIES MILL RD,FRANKLINVILLE,NJ,08322,,15-4940-060
Gloucester,National Park Boro School District,National Park School,516 LAKEHURST AVE,NATIONAL PARK,NJ,08063,1534,15-3490-050
Camden,Gloucester Township Public Schools,Glendora Elementary School,201 STATION AVE,GLENDORA,NJ,08029,,07-1780-060
Somerset,North Plainfield School District,Stony Brook School,269 Grove Street,North Plainfield,NJ,07060,4005,35-3670-090
Union,Cranford Public School District,Livingston Avenue School,75 LIVINGSTON AVENUE,CRANFORD,NJ,07016,,39-0980-080
Monmouth,Middletown Township Public School District,Leonardo Elementary School,14 HOSFORD AVENUE,LEONARDO,NJ,07737,1797,25-3160-110
Camden,Camden City School District,Harry C. Sharp Elementary School,928 North 32nd Street,CAMDEN,NJ,08105,,07-0680-300
Monmouth,Oceanport School District,Wolf Hill School,29 WOLF HILL AVENUE,OCEANPORT,NJ,07757,1000,25-3830-050
Passaic,Passaic City School District,Mahatma Gandhi School Number 25,64 Parker Ave,Passaic,NJ,07055,,31-3970-307
Essex,East Orange School District,East Orange STEM Academy High School,129 RENSHAW AVENUE,EAST ORANGE,NJ,07017,3308,13-1210-030
Hudson,Bayonne School District,Washington Community School #9,191 AVENUE B,BAYONNE,NJ,07002,,17-0220-120
Union,Plainfield Public School District,Evergreen Elementary School,1033 EVERGREEN AVE,PLAINFIELD,NJ,07060,2613,39-4160-140
Essex,Belleville Public School District,Hornblower Early Education Elementary School,229 Main Street,Belleville,NJ,07109,,13-0250-300
Middlesex,Perth Amboy Public School District,Edward J. Patten Elementary School,500 CHARLES STREET,PERTH AMBOY,NJ,08861,,23-4090-065
Warren,Hackettstown Public School District,Hackettstown Middle School,500 WASHINGTON STREET,HACKETTSTOWN,NJ,07840,2230,41-1870-060
Charters,Robert Treat Academy Charter School,Robert Treat Academy Charter School,443 CLIFTON AVENUE,NEWARK,NJ,07104,1339,80-7730-970
Essex,Belleville Public School District,Belleville PS7,20 PASSAIC AVE,BELLEVILLE,NJ,07109,1864,13-0250-070
Bergen,Lyndhurst School District,Columbus School,640 LAKE AVE,LYNDHURST,NJ,07071,1207,03-2860-060
Essex,Glen Ridge Public School District,Ridgewood Avenue School,235 RIDGEWOOD AVE,GLEN RIDGE,NJ,07028,1019,13-1750-075
Passaic,Clifton Public School District,School #17,361 LEXINGTON AVENUE,CLIFTON,NJ,07011,,31-0900-230
Atlantic,Galloway Township Public Schools,Galloway Township Middle School,100 S  REEDS ROAD,GALLOWAY,NJ,08205,,01-1690-016
Bergen,Montvale Board of Education School District,Memorial Elementary School,53 Grand Avenue West,Montvale,NJ,07645,,03-3330-030
Essex,Newark Public School District,Newark innovation Academy,190 MUHAMMAD ALI AVENUE,NEWARK,NJ,07108,,13-3570-003
Hunterdon,Kingwood Township School District,Kingwood Township School,880 COUNTY ROAD 519,FRENCHTOWN,NJ,08825,9731,19-2450-050
Morris,Jefferson Township Public School District,White Rock Elementary School,2 FRANCINE PLACE,OAK RIDGE,NJ,07438,9515,27-2380-070
Morris,Mendham Township School District,Mendham Township Middle School,16 WASHINGTON VALLEY ROAD,BROOKSIDE,NJ,07926,,27-3100-060
Bergen,Demarest School District,Luther Lee Emerson School,15 COLUMBUS ROAD,DEMAREST,NJ,07627,,03-1070-050
Ocean,Toms River Regional School District,Toms River Intermediate School South,1675 PINEWALD ROAD,BEACHWOOD,NJ,08722,,29-5190-061
Mercer,Trenton Public School District,Dr. Martin Luther King Middle School,401-411 Brunswick Ave,Trenton,NJ,08638,,21-5210-305
Burlington,Lumberton Township Board of Education,Florence L. Walther School,56 CHESTNUT STREET,LUMBERTON,NJ,08048,0008,05-2850-050
Middlesex,Sayreville School District,Cheesequake School,111 Highway 34,Matawan,NJ,07747,,23-4660-301
Bergen,Ridgefield Park Public School District,Roosevelt  Elementary School,508 TEANECK ROAD,RIDGEFIELD PARK,NJ,07660,,03-4380-080
Hunterdon,Hunterdon County Vocational School District,Hunterdon County Academies,1445 State Route 31,Annandale,NJ,08801,,19-2308-300
Ocean,Berkeley Township School District,Berkeley Township Elementary School,10 EMORY AVENUE,BAYVILLE,NJ,08721,,29-0320-025
Burlington,Bordentown Regional School District,Clara Barton Elementary,100 CROSSWICKS ST,BORDENTOWN,NJ,08505,1739,05-0475-060
Union,Township of Union School District,Jefferson Elementary,155 HILTON AVENUE,UNION,NJ,07083,,39-5290-085
Morris,Parsippany-Troy Hills Township School District,Knollwood Elementary School,445 Knoll Road,Lake Hiawatha,NJ,07034,,27-3950-065
Essex,Belleville Public School District,Belleville PS9,301 RALPH ST,BELLEVILLE,NJ,07109,3309,13-0250-090
Essex,Newark Public School District,Arts High School,550 M  L  KING BLVD,NEWARK,NJ,07102,1214,13-3570-010
Somerset,North Plainfield School District,North Plainfield High School,34 Wilson Avenue,North Plainfield,NJ,07060,4075,35-3670-050
Camden,Gloucester Township Public Schools,Charles W. Lewis Middle School,875 ERIAL ROAD,BLACKWOOD,NJ,08012,,07-1780-035
Cape May,Upper Township School District,Upper Township Middle School,525 PERRY RD,PETERSBURG,NJ,08270,,09-5340-030
Charters,Riverbank Charter School of Excellence,Riverbank Charter School of Excellence,1300 Hornberger Ave,Roebling,NJ,08554,,80-6026-908
Bergen,Palisades Park School District,Palisades Park Jr-Sr High School,VETERANS PLAZA,PALISADES PARK,NJ,07650,,03-3910-050
Passaic,Paterson Public School District,School 10,48 MERCER STREET,PATERSON,NJ,07524,2429,31-4010-140
Union,Union County Educational Services Commission,Crossroads School,45 CARDINAL DRIVE,WESTFIELD,NJ,07090,,39-5245-050
Bergen,Glen Rock Public School District,Clara E Coleman School,100 PINELYNN RD,GLEN ROCK,NJ,07452,3025,03-1760-090
Morris,Rockaway Township School District,Copeland Middle School,100 LAKE SHORE DRIVE,ROCKAWAY,NJ,07866,,27-4490-015
Gloucester,Deptford Township Public School District,Pine Acres Early Childhood Center,720 PURDUE AVE,WENONAH,NJ,08090,,15-1100-130
Bergen,Lyndhurst School District,Lincoln School,281 RIDGE RD,LYNDHURST,NJ,07071,1928,03-2860-090
Bergen,Fair Lawn Public School District,Lyncrest Elementary School,9-04 MORLOT AVE,FAIR LAWN,NJ,07410,,03-1450-100
Charters,Creativity CoLaboratory Charter School,Creativity CoLaboratory Charter School,457 Shirley Road,Elmer,NJ,08318,,80-7897-923
Camden,Winslow Township School District,Winslow Township Middle School,30 COOPER FOLLY ROAD,ATCO,NJ,08004,,07-5820-020
Passaic,Clifton Public School District,School #2,1270 VAN HOUTEN AVENUE,CLIFTON,NJ,07013,,31-0900-090
Union,Hillside Public School District,George Washington School,1530 LESLIE ST,HILLSIDE,NJ,07205,1206,39-2190-110
Middlesex,Highland Park Boro School District,Irving Primary School,121 SOUTH ELEVENTH AVENUE,HIGHLAND PARK,NJ,08904,,23-2150-070
Bergen,East Rutherford School District,McKenzie School,125 CARLTON AVENUE,EAST RUTHERFORD,NJ,07073,,03-1230-080
Monmouth,Marlboro Township School District,Frank Defino Central Elementary School,175 Route 79 North,MARLBORO,NJ,07746,1056,25-3030-030
Somerset,Bernards Township School District,Liberty Corner School,61 Church Street,Liberty Corner,NJ,07938,,35-0350-080
Hudson,West New York Board of Education,Albio Sires Elementary School,6300 PALISADE AVE,WEST NEW YORK,NJ,07093,2318,17-5670-080
Morris,Morris School District,Thomas Jefferson School,JAMES STREET & OGDEN PLACE,MORRISTOWN,NJ,07960,,27-3385-110
Charters,Elysian Charter School,Elysian Charter School of Hoboken,1460 GARDEN STREET,HOBOKEN,NJ,07030,,80-6420-925
Morris,Boonton Town School District,Boonton High School,306 LATHROP AVENUE,BOONTON,NJ,07005,2220,27-0450-020
Charters,Soaraing Heights Charter School,Soaring Heights Charter School,1 ROMAR AVENUE,JERSEY CITY,NJ,07305,,80-7830-980
Bergen,Ramsey School District,Ramsey High School,256 E  MAIN STREET,RAMSEY,NJ,07446,1927,03-4310-050
Salem,Pennsville Public School District,Central Park Elementary School,43 OLIVER AVE,PENNSVILLE,NJ,08070,1531,33-4075-060
Essex,Belleville Public School District,Belleville High School,100 PASSAIC AVE,BELLEVILLE,NJ,07109,1807,13-0250-020
Camden,Camden City School District,Henry B. Wilson Family School,2250 South 8th Street,CAMDEN,NJ,08104,,07-0680-350
Union,Berkeley Heights School District,William Woodruff School,BRIARWOOD DR WEST,BERKELEY HTS,NJ,07922,,39-0310-050
Morris,Pequannock Township School District,Hillview School,206 Boulevard,Pompton Plains,NJ,07444,1903,27-4080-055
Passaic,Paterson Public School District,International High School,200 Grand Street,PATERSON,NJ,07501,,31-4010-035
Burlington,Rancocas Valley Regional High School District,Rancocas Valley Regional High School,520 JACKSONVILLE ROAD,MOUNT HOLLY,NJ,08060,9622,05-4320-050
Atlantic,Greater Egg Harbor Regional High School District,Absegami High School,201 S  WRANGLEBORO ROAD,GALLOWAY,NJ,08205,9554,01-1790-040
Morris,Long Hill Township School District,Millington Elementary School,91 Northfield Road,Millington,NJ,07946,1352,27-4000-060
Essex,ORANGE BOARD OF EDUCATION School District,Orange Early Childhood Center,397 Park Avenue,Orange,NJ,07050,,13-3880-300
Monmouth,Holmdel Township School District,Holmdel High School,36 CRAWFORDS CORNER ROAD,HOLMDEL,NJ,07733,1999,25-2230-020
Passaic,Ringwood School District,Robert Erskine School,88 ERSKINE ROAD,RINGWOOD,NJ,07456,2150,31-4400-060
Sussex,Hopatcong Borough School District,Durban Avenue Elementary School,616 Durban Avenue,Hopatcong,NJ,07843,,37-2240-035
Burlington,Medford Township School District,Milton H. Allen Elementary School,24 ALLEN AVENUE,MEDFORD,NJ,08055,2402,05-3080-060
Sussex,Newton Public School District,Newton High School,44 RYERSON AVENUE,NEWTON,NJ,07860,,37-3590-050
Essex,Bloomfield Township School District,Bloomfield Middle School,60 Huck Road,Bloomfield,NJ,07003,4144,13-0410-030
Sussex,Vernon Township School District,Cedar Mountain Primary School,17 SAMMIS ROAD,VERNON,NJ,07462,0420,37-5360-023
Middlesex,New Brunswick School District,Lincoln Annex School,165 Somerset St,New Brunswick,NJ,08901,,23-3530-300
Passaic,Clifton Public School District,Christopher Columbus Middle School,350 PIAGET AVENUE,CLIFTON,NJ,07011,,31-0900-035
Mercer,Area Vocational Technical Schools of Mercer County,MCVS Arthur R. Sypek Center,129 BULL RUN ROAD,PENNINGTON,NJ,08534,1303,21-3105-040
Monmouth,Bayshore Jointure Commission School District,Developmental Learning Center,100 Tornillo Way,Tinton Falls,NJ,07712,,25-0225-030
Bergen,Westwood Regional School District,Westwood Junior/Senior High School,701 RIDGEWOOD ROAD,TOWNSHIP OF WASHINGTON,NJ,07676,,03-5755-050
Monmouth,Keansburg School District,Port Monmouth Road School,142 PORT MONMOUTH ROAD,KEANSBURG,NJ,07734,1998,25-2400-040
Monmouth,Rumson-Fair Haven Regional High School District,Rumson-Fair Haven Regional High School,74 RIDGE ROAD,RUMSON,NJ,07760,1896,25-4580-050
Essex,Millburn Township School District,South Mountain School,2 SOUTHERN SLOPE DRIVE,MILLBURN,NJ,07041,,13-3190-100
Morris,Riverdale School District,Riverdale School,52 NEWARK POMPTON TURNPIKE,RIVERDALE,NJ,07457,,27-4440-050
Hudson,Union City School District,Colin Powell Elementary School,1500 New York Avenue,Union City,NJ,07087,,17-5240-300
Salem,Salem City School District,Salem Middle School,51 NEW MARKET STREET,SALEM,NJ,08079,9048,33-4630-090
Somerset,Bound Brook School District,Bound Brook High School,111 West Union Avenue,Bound Brook,NJ,08805,,35-0490-020
Monmouth,Eatontown Public School District,Memorial Middle School,7 GRANT AVENUE,EATONTOWN,NJ,07724,1398,25-1260-070
Mercer,Trenton Public School District,Luis Munoz-Rivera MS,400 N  Montgomery Street,Trenton,NJ,08618,,21-5210-240
Morris,Boonton Township School District,Rockaway Valley School,11 VALLEY ROAD,BOONTON TOWNSHIP,NJ,07005,,27-0460-060
Monmouth,Henry Hudson Regional School District,Henry Hudson Regional School,1 GRAND TOUR,HIGHLANDS,NJ,07732,2001,25-2120-050
Essex,Livingston Board of Education School District,Collins Elementary School,67 MARTIN RD,LIVINGSTON,NJ,07039,4631,13-2730-080
Hudson,Kearny,Lincoln Middle School,121 BEECH ST,KEARNY,NJ,07032,2707,17-2410-090
Burlington,Bass River Township Board of Education,Bass River Township Elementary School,11 NORTH MAPLE AVENUE,NEW GRETNA,NJ,08224,0304,05-0200-050
Burlington,Mansfield Township School District,John Hydock Elementary School,19 LOCUST AVE,COLUMBUS,NJ,08022,9504,05-2960-030
Monmouth,Upper Freehold Regional School District,Stonebridge Middle School,1252 Yardville-Allentown Road,Allentown,NJ,08501,,25-5310-070
Passaic,Wayne Township Public School District,Packanack Elementary School,190 OAKWOOD DRIVE,WAYNE,NJ,07470,5652,31-5570-110
Warren,Phillipsburg School District,Phillipsburg Elementary School,525 Warren Street,PHILLIPSBURG,NJ,08865,3419,41-4100-105
Atlantic,Buena Regional School District,John C. Milanesi Elementary School,880 HARDING HIGHWAY,BUENA,NJ,08310,9701,01-0590-055
Passaic,Paterson Public School District,Newcomers,482-506 MARKET STREET,PATERSON,NJ,07501,,31-4010-150
Charters,Community Charter School of Paterson,Community Charter School of Paterson,75 SPRUCE ST,PATERSON,NJ,07501,1720,80-6021-905
Mercer,Hamilton Township Public School District,Alexander Elementary School,20 ROBERT FROST DRIVE,HAMILTON,NJ,08690,2331,21-1950-085
Union,Scotch Plains-Fanwood School District,Evergreen Elementary School,2280 EVERGREEN AVENUE,SCOTCH PLAINS,NJ,07076,,39-4670-090
Bergen,Carlstadt PublicSchool District,Carlstadt Public School,550 WASHINGTON STREET,CARLSTADT,NJ,07072,,03-0740-050
Monmouth,Matawan-Aberdeen Regional School District,Cliffwood Elementary School,422 CLIFFWOOD AVENUE,CLIFFWOOD,NJ,07721,1195,25-3040-060
Essex,Newark Public School District,Hawthorne Avenue School,428 HAWTHORNE AVE,NEWARK,NJ,07112,,13-3570-470
Essex,South Orange-Maplewood School District,Montrose Early Childhood Center,358 Clark Street,South Orange,NJ,07079,,13-4900-300
Hudson,Jersey City Public Schools,James F. Murray School,339 STEGMAN PARKWAY,JERSEY CITY,NJ,07305,1408,17-2390-350
Gloucester,Pitman Boro School District,Pitman Middle School,138 East Holly Avenue,Pitman,NJ,08071,1014,15-4140-075
Middlesex,Sayreville School District,Harry S. Truman Elementary School,ONE TAFT PLACE,PARLIN,NJ,08859,1672,23-4660-075
Monmouth,Manalapan-Englishtown Regional Schools School District,Manalapan-Englishtown Middle School,155 MILLHURST ROAD,Manalapan,NJ,07726,4006,25-2920-060
