county_name,district_name,school_name,county_district_school_code,school_address,name_enc,address_enc,gs_school_name,gs_school_address,gs_school_link,fuzzy_name_score,fuzzy_address_score
Essex,Belleville Public School District,Belleville PS5,13-0250-060,"149 ADELAIDE ST, BELLEVILLE, NJ, 07109",BELLEVILLEPS5,149ADELAIDESTREETBELLEVILLENJ07109,Belleville PS5,"149 Adelaide Street, Belleville, NJ, 07109",https://www.greatschools.org/new-jersey/belleville/84-Number-5-Elementary-School/,100.0,86.66666666666667
Union,Plainfield Public School District,Pinnacle Academy High School,39-4160-051,"209 Berckman St, Plainfield, NJ, 07062",PINNACLEACADEMYHIGHSCHOOL,209BERCKMANSTREETPLAINFIELDNJ07062,Pinnacle Academy High School,"209 Berckman Street, Plainfield, NJ, 07062",https://www.greatschools.org/new-jersey/plainfield/6916-Boaacd/,100.0,86.66666666666667
Camden,Voorhees Township School District,Voorhees Middle School,07-5400-100,"1000 HOLLY OAK DR, VOORHEES, NJ, 08043",VOORHEESMIDDLESCHOOL,1000HOLLYOAKDRVOORHEESTOWNSHIPNJ08043,Voorhees Middle School,"1000 HOLLY OAK DR, Voorhees Township, NJ, 08043",https://www.greatschools.org/new-jersey/voorhees-township/2070-Voorhees-Middle-School/,100.0,86.27450980392157
Mercer,Hamilton Township Public School District,Mercerville Elementary School,21-1950-210,"60 REGINA AVENUE, HAMILTON, NJ, 08619",MERCERVILLEELEMENTARYSCHOOL,60REGINAAVENUEHAMILTONTOWNSHIPNJ08619,Mercerville Elementary School,"60 REGINA AVENUE, Hamilton Township, NJ, 08619",https://www.greatschools.org/new-jersey/hamilton-township/742-Mercerville-Elementary-School/,100.0,86.27450980392157
Gloucester,Delsea Regional High School District,Delsea Regional High School,15-4940-050,"242 FRIES MILL RD, FRANKLINVILLE, NJ, 08322",DELSEAREGIONALHIGHSCHOOL,242FRIESMILLRDFRANKLINNJ08322,Delsea Regional High School,"242 FRIES MILL RD, Franklin, NJ, 08322",https://www.greatschools.org/new-jersey/franklin/1885-Delsea-Regional-High-School/,100.0,86.27450980392157
Monmouth,Monmouth County Vocational School District,Communications High School,25-3260-004,"1740 NEW BEDFORD ROAD, WALL, NJ, 07719",COMMUNICATIONSHIGHSCHOOL,1740NEWBEDFORDROADWALLTOWNSHIPNJ07719,Communications High School,"1740 NEW BEDFORD ROAD, Wall Township, NJ, 07719",https://www.greatschools.org/new-jersey/wall-township/3429-Communications-High-School/,100.0,86.27450980392157
Mercer,Hamilton Township Public School District,McGalliard Elementary School,21-1950-200,"1600 ARENA DRIVE, HAMILTON, NJ, 08610",MCGALLIARDELEMENTARYSCHOOL,1600ARENADRIVEHAMILTONTOWNSHIPNJ08610,McGalliard Elementary School,"1600 ARENA DRIVE, Hamilton Township, NJ, 08610",https://www.greatschools.org/new-jersey/trenton/741-McGalliard-Elementary-School/,100.0,86.27450980392157
Ocean,Brick Township Public School District,Drum Point Road Elementary School,29-0530-030,"41 DRUM POINT RD, BRICK TOWN, NJ, 08723",DRUMPOINTROADELEMENTARYSCHOOL,41DRUMPOINTRDBRICKTOWNSHIPNJ08723,Drum Point Road Elementary School,"41 DRUM POINT RD, Brick Township, NJ, 08723",https://www.greatschools.org/new-jersey/brick-township/175-Drum-Point-Road-Elementary-School/,100.0,86.27450980392157
Mercer,Hamilton Township Public School District,Sunnybrae Elementary School,21-1950-245,"166 ELTON AVENUE, HAMILTON, NJ, 08620",SUNNYBRAEELEMENTARYSCHOOL,166ELTONAVENUEHAMILTONTOWNSHIPNJ08620,Sunnybrae Elementary School,"166 ELTON AVENUE, Hamilton Township, NJ, 08620",https://www.greatschools.org/new-jersey/hamilton-township/746-Sunnybrae-Elementary-School/,100.0,86.27450980392157
Union,Rahway Public School District,Grover Cleveland Elementary School,39-4290-090,"486 E MILTON AVE, RAHWAY, NJ, 07065",GROVERCLEVELANDELEMENTARYSCHOOL,486EASTMILTONAVENUERAHWAYNJ07065,Grover Cleveland Elementary School,"486 East Milton Avenue, Rahway, NJ, 07065",https://www.greatschools.org/new-jersey/rahway/1691-Grover-Cleveland-Elementary-School/,100.0,86.27450980392157
