county_name,district_name,school_name,county_district_school_code,school_address,name_enc,address_enc,gs_school_name,gs_school_address,gs_school_link,rating_band,rating,gs_name_enc,gs_address_enc,fuzzy_name_score,fuzzy_address_score
Salem,Quinton Township School District,Quinton Township School,33-4280-050,"8 ROBINSON STREET, QUINTON, NJ, 08072",QUINTONTOWNSHIPSCHOOL,8ROBINSONSTREETQUINTONNJ08072,Quinton Township Elementary School,"8 ROBINSON STREET, Quinton, NJ, 08072",https://www.greatschools.org/new-jersey/salem/1687-Quinton-Township-Elementary-School/,Below average,4.0,QUINTONTOWNSHIPELEMENTARYSCHOOL,8ROBINSONSTREETQUINTONNJ08072,80.76923076923077,100.0
Camden,Mt. Ephraim School District,Raymond W. Kershaw School,07-3420-020,"125 SOUTH BLACK HORSE PIKE, MOUNT EPHRAIM, NJ, 08059",RAYMONDWKERSHAWSCHOOL,125SOUTHBLACKHORSEPIKEMOUNTEPHRAIMNJ08059,Raymond W. Kershaw Elementary School,"125 South Black Horse Pike, Mount Ephraim, NJ, 08059",https://www.greatschools.org/new-jersey/mount-ephraim/1260-Raymond-W.-Kershaw-Elementary-School/,Average,5.0,RAYMONDWKERSHAWELEMENTARYSCHOOL,125SOUTHBLACKHORSEPIKEMOUNTEPHRAIMNJ08059,80.76923076923077,100.0
Burlington,Pemberton Township School District,Samuel T. Busansky School,05-4050-135,"16 SCRAPETOWN ROAD, PEMBERTON, NJ, 08068",SAMUELTBUSANSKYSCHOOL,16SCRAPETOWNROADPEMBERTONNJ08068,Samuel T. Busansky Elementary School,"16 Scrapetown Road, Pemberton, NJ, 08068",https://www.greatschools.org/new-jersey/pemberton/1584-Samuel-T.-Busansky-Elementary-School/,Below average,2.0,SAMUELTBUSANSKYELEMENTARYSCHOOL,16SCRAPETOWNROADPEMBERTONNJ08068,80.76923076923077,100.0
Essex,Newark Public School District,Rafael Hernandez School,13-3570-575,"345 BROADWAY, NEWARK, NJ, 07104",RAFAELHERNANDEZSCHOOL,345BROADWAYNEWARKNJ07104,Rafael Hernandez Elementary School,"345 Broadway, Newark, NJ, 07104",https://www.greatschools.org/new-jersey/newark/1314-Rafael-Hernandez-Elementary-School/,Below average,3.0,RAFAELHERNANDEZELEMENTARYSCHOOL,345BROADWAYNEWARKNJ07104,80.76923076923077,100.0
Passaic,Woodland Park School District,Beatrice Gilmore School,31-5690-060,"1075 MCBRIDE AVENUE, Woodland Park, NJ, 07424",BEATRICEGILMORESCHOOL,1075MCBRIDEAVENUEWOODLANDPARKNJ07424,Beatrice Gilmore Elementary School,"1075 McBride Avenue, Woodland Park, NJ, 07424",https://www.greatschools.org/new-jersey/woodland-park/2185-Beatrice-Gilmore-Elementary-School/,Average,6.0,BEATRICEGILMOREELEMENTARYSCHOOL,1075MCBRIDEAVENUEWOODLANDPARKNJ07424,80.76923076923077,100.0
Essex,Verona Public School District,Brookdale Avenue School,13-5370-070,"14 BROOKDALE COURT, VERONA, NJ, 07044",BROOKDALEAVENUESCHOOL,14BROOKDALECOURTVERONANJ07044,Brookdale Avenue Elementary School,"14 Brookdale Court, Verona, NJ, 07044",https://www.greatschools.org/new-jersey/verona/2043-Brookdale-Avenue-Elementary-School/,Average,5.0,BROOKDALEAVENUEELEMENTARYSCHOOL,14BROOKDALECOURTVERONANJ07044,80.76923076923077,100.0
Bergen,Emerson Public School District,Patrick M Villano School,03-1360-060,"175 Linwood Avenue, Emerson, NJ, 07630",PATRICKMVILLANOSCHOOL,175LINWOODAVENUEEMERSONNJ07630,Patrick M. Villano Elementary School,"175 Linwood Avenue, Emerson, NJ, 07630",https://www.greatschools.org/new-jersey/emerson/538-Patrick-M.-Villano-Elementary-School/,Average,6.0,PATRICKMVILLANOELEMENTARYSCHOOL,175LINWOODAVENUEEMERSONNJ07630,80.76923076923077,100.0
Essex,Newark Public School District,Lafayette Street School,13-3570-480,"205 LAFAYETTE ST, NEWARK, NJ, 07105",LAFAYETTESTREETSCHOOL,205LAFAYETTESTNEWARKNJ07105,Lafayette Street Elementary School,"205 Lafayette Street, Newark, NJ, 07105",https://www.greatschools.org/new-jersey/newark/1357-Lafayette-Street-Elementary-School/,Average,6.0,LAFAYETTESTREETELEMENTARYSCHOOL,205LAFAYETTESTREETNEWARKNJ07105,80.76923076923077,93.10344827586206
Bergen,Elmwood Park School District,Sixteenth Avenue School,03-1345-090,"73 SIXTEENTH AVENUE, ELMWOOD PARK, NJ, 07407",SIXTEENTHAVENUESCHOOL,73SIXTEENTHAVENUEELMWOODPARKNJ07407,Sixteenth Avenue Elementary School,"73 16th Avenue, Elmwood Park, NJ, 07407",https://www.greatschools.org/new-jersey/elmwood-park/535-Sixteenth-Avenue-Elementary-School/,Average,6.0,SIXTEENTHAVENUEELEMENTARYSCHOOL,7316THAVENUEELMWOODPARKNJ07407,80.76923076923077,86.15384615384616
Salem,UPPER PITTSGROVE TWP School District,Upper Pittsgrove School,33-5320-070,"235 PINE TAVERN ROAD, MONROEVILLE, NJ, 08343",UPPERPITTSGROVESCHOOL,235PINETAVERNROADMONROEVILLENJ08343,Upper Pittsgrove Elementary School,"235 PINE TAVERN ROAD, Upper Pittsgrove, NJ, 08343",https://www.greatschools.org/new-jersey/upper-pittsgrove/2028-Upper-Pittsgrove-Elementary-School/,Average,6.0,UPPERPITTSGROVEELEMENTARYSCHOOL,235PINETAVERNROADUPPERPITTSGROVENJ08343,80.76923076923077,75.67567567567568
