county_name,district_name,school_name,county_district_school_code,school_address,name_enc,address_enc,gs_school_name,gs_school_address,gs_school_link,rating_band,rating,gs_name_enc,gs_address_enc,fuzzy_name_score,fuzzy_address_score
Middlesex,Edison Township School District,Edison High School,23-1290-050,"50 BOULEVARD OF THE EAGLES, EDISON, NJ, 08817",EDISONHIGHSCHOOL,50BOULEVARDOFTHEEAGLESEDISONNJ08817,Edison High School,"50 Boulevard of the Eagles, Edison, NJ, 08817",https://www.greatschools.org/new-jersey/edison/477-Edison-High-School/,Below average,4.0,EDISONHIGHSCHOOL,50BOULEVARDOFTHEEAGLESEDISONNJ08817,100.0,100.0
Morris,Dover Public School District,Dover Middle School,27-1110-065,"302 EAST MCFARLAN STREET, DOVER, NJ, 07801",DOVERMIDDLESCHOOL,302EASTMCFARLANSTREETDOVERNJ07801,Dover Middle School,"302 East McFarlan Street, Dover, NJ, 07801",https://www.greatschools.org/new-jersey/dover/406-Dover-Middle-School/,Below average,4.0,DOVERMIDDLESCHOOL,302EASTMCFARLANSTREETDOVERNJ07801,100.0,100.0
Passaic,Wayne Township Public School District,Pines Lake Elementary School,31-5570-120,"511 PINES LAKE DRIVE, WAYNE, NJ, 07470",PINESLAKEELEMENTARYSCHOOL,511PINESLAKEDRIVEWAYNENJ07470,Pines Lake Elementary School,"511 Pines Lake Drive, Wayne, NJ, 07470",https://www.greatschools.org/new-jersey/wayne/2131-Pines-Lake-Elementary-School/,Above average,8.0,PINESLAKEELEMENTARYSCHOOL,511PINESLAKEDRIVEWAYNENJ07470,100.0,100.0
Bergen,Waldwick School District,Crescent Elementary School,03-5410-040,"165 CRESCENT AVENUE, WALDWICK, NJ, 07463",CRESCENTELEMENTARYSCHOOL,165CRESCENTAVENUEWALDWICKNJ07463,Crescent Elementary School,"165 Crescent Avenue, Waldwick, NJ, 07463",https://www.greatschools.org/new-jersey/waldwick/2073-Crescent-Elementary-School/,Above average,7.0,CRESCENTELEMENTARYSCHOOL,165CRESCENTAVENUEWALDWICKNJ07463,100.0,100.0
Monmouth,Red Bank Borough Public School District,Red Bank Primary School,25-4360-075,"222 RIVER STREET, RED  BANK, NJ, 07701",REDBANKPRIMARYSCHOOL,222RIVERSTREETREDBANKNJ07701,Red Bank Primary School,"222 RIVER STREET, Red Bank, NJ, 07701",https://www.greatschools.org/new-jersey/red-bank/1721-Red-Bank-Primary-School/,Below average,4.0,REDBANKPRIMARYSCHOOL,222RIVERSTREETREDBANKNJ07701,100.0,100.0
Burlington,Shamong Township School District,Indian Mills Elementary School,05-4740-050,"112 INDIAN MILLS ROAD, SHAMONG, NJ, 08088",INDIANMILLSELEMENTARYSCHOOL,112INDIANMILLSROADSHAMONGNJ08088,Indian Mills Elementary School,"112 Indian Mills Road, Shamong, NJ, 08088",https://www.greatschools.org/new-jersey/shamong/1831-Indian-Mills-Elementary-School/,Above average,7.0,INDIANMILLSELEMENTARYSCHOOL,112INDIANMILLSROADSHAMONGNJ08088,100.0,100.0
Bergen,Closter Public School District,Tenakill Middle School,03-0930-060,"275 High Street, CLOSTER, NJ, 07624",TENAKILLMIDDLESCHOOL,275HIGHSTREETCLOSTERNJ07624,Tenakill Middle School,"275 High Street, Closter, NJ, 07624",https://www.greatschools.org/new-jersey/closter/355-Tenakill-Middle-School/,Above average,9.0,TENAKILLMIDDLESCHOOL,275HIGHSTREETCLOSTERNJ07624,100.0,100.0
Hudson,Weehawken Public School District,Weehawken High School,17-5580-050,"53 LIBERTY PLACE, WEEHAWKEN, NJ, 07086",WEEHAWKENHIGHSCHOOL,53LIBERTYPLACEWEEHAWKENNJ07086,Weehawken High School,"53 Liberty Place, Weehawken, NJ, 07086",https://www.greatschools.org/new-jersey/weehawken/2136-Weehawken-High-School/,Below average,4.0,WEEHAWKENHIGHSCHOOL,53LIBERTYPLACEWEEHAWKENNJ07086,100.0,100.0
Gloucester,Woodbury City Public School District,West End Memorial Elementary School,15-5860-110,"215 Queen Street, Woodbury, NJ, 08096",WESTENDMEMORIALELEMENTARYSCHOOL,215QUEENSTREETWOODBURYNJ08096,West End Memorial Elementary School,"215 Queen Street, Woodbury, NJ, 08096",https://www.greatschools.org/new-jersey/woodbury/2269-West-End-Memorial-Elementary-School/,Below average,2.0,WESTENDMEMORIALELEMENTARYSCHOOL,215QUEENSTREETWOODBURYNJ08096,100.0,100.0
Camden,Gloucester City Public School District,Cold Springs School,07-1770-160,"1194 MARKET STREET, GLOUCESTER CITY, NJ, 08030",COLDSPRINGSSCHOOL,1194MARKETSTREETGLOUCESTERCITYNJ08030,Cold Springs School,"1194 Market Street, Gloucester City, NJ, 08030",https://www.greatschools.org/new-jersey/gloucester-city/673-Cold-Springs-School/,Below average,3.0,COLDSPRINGSSCHOOL,1194MARKETSTREETGLOUCESTERCITYNJ08030,100.0,100.0
Morris,Denville Township K-8 School District,Lakeview Elementary School,27-1090-050,"44 COOPER ROAD, DENVILLE, NJ, 07834",LAKEVIEWELEMENTARYSCHOOL,44COOPERROADDENVILLENJ07834,Lakeview Elementary School,"44 Cooper Road, Denville, NJ, 07834",https://www.greatschools.org/new-jersey/denville/394-Lakeview-Elementary-School/,Above average,8.0,LAKEVIEWELEMENTARYSCHOOL,44COOPERROADDENVILLENJ07834,100.0,100.0
Essex,Newark Public School District,Technology High School,13-3570-056,"223 BROADWAY, NEWARK, NJ, 07102",TECHNOLOGYHIGHSCHOOL,223BROADWAYNEWARKNJ07102,Technology High School,"223 BROADWAY, Newark, NJ, 07102",https://www.greatschools.org/new-jersey/newark/1315-Technology-High-School/,Above average,8.0,TECHNOLOGYHIGHSCHOOL,223BROADWAYNEWARKNJ07102,100.0,100.0
Charters,Unity Charter School,Unity Charter School,80-8050-990,"1 Evergreen Place, MORRISTOWN, NJ, 07960",UNITYCHARTERSCHOOL,1EVERGREENPLACEMORRISTOWNNJ07960,Unity Charter School,"1 Evergreen Place, Morristown, NJ, 07960",https://www.greatschools.org/new-jersey/morristown/3365-Unity-Charter-School/,Average,6.0,UNITYCHARTERSCHOOL,1EVERGREENPLACEMORRISTOWNNJ07960,100.0,100.0
Monmouth,Wall Township Public School District,Old Mill Elementary School,25-5420-077,"2119 OLD MILL ROAD, SEA GIRT, NJ, 08750",OLDMILLELEMENTARYSCHOOL,2119OLDMILLROADSEAGIRTNJ08750,Old Mill Elementary School,"2119 Old Mill Road, Sea Girt, NJ, 08750",https://www.greatschools.org/new-jersey/sea-girt/2081-Old-Mill-Elementary-School/,Above average,8.0,OLDMILLELEMENTARYSCHOOL,2119OLDMILLROADSEAGIRTNJ08750,100.0,100.0
Middlesex,Perth Amboy Public School District,Edward J. Patten Elementary School,23-4090-065,"500 CHARLES STREET, PERTH AMBOY, NJ, 08861",EDWARDJPATTENELEMENTARYSCHOOL,500CHARLESSTREETPERTHAMBOYNJ08861,Edward J Patten Elementary School,"500 Charles Street, Perth Amboy, NJ, 08861",https://www.greatschools.org/new-jersey/perth-amboy/1608-Edward-J--Patten-Elementary-School/,Below average,2.0,EDWARDJPATTENELEMENTARYSCHOOL,500CHARLESSTREETPERTHAMBOYNJ08861,100.0,100.0
Warren,Hackettstown Public School District,Hackettstown Middle School,41-1870-060,"500 WASHINGTON STREET, HACKETTSTOWN, NJ, 07840",HACKETTSTOWNMIDDLESCHOOL,500WASHINGTONSTREETHACKETTSTOWNNJ07840,Hackettstown Middle School,"500 Washington Street, Hackettstown, NJ, 07840",https://www.greatschools.org/new-jersey/hackettstown/705-Hackettstown-Middle-School/,Average,5.0,HACKETTSTOWNMIDDLESCHOOL,500WASHINGTONSTREETHACKETTSTOWNNJ07840,100.0,100.0
Charters,Robert Treat Academy Charter School,Robert Treat Academy Charter School,80-7730-970,"443 CLIFTON AVENUE, NEWARK, NJ, 07104",ROBERTTREATACADEMYCHARTERSCHOOL,443CLIFTONAVENUENEWARKNJ07104,Robert Treat Academy Charter School,"443 Clifton Avenue, Newark, NJ, 07104",https://www.greatschools.org/new-jersey/newark/3340-Robert-Treat-Academy-Charter-School/,Above average,8.0,ROBERTTREATACADEMYCHARTERSCHOOL,443CLIFTONAVENUENEWARKNJ07104,100.0,100.0
Passaic,Clifton Public School District,School #17,31-0900-230,"361 LEXINGTON AVENUE, CLIFTON, NJ, 07011",SCHOOL#17,361LEXINGTONAVENUECLIFTONNJ07011,School #17,"361 Lexington Avenue, Clifton, NJ, 07011",https://www.greatschools.org/new-jersey/clifton/4292-Number-17/,Average,5.0,SCHOOL#17,361LEXINGTONAVENUECLIFTONNJ07011,100.0,100.0
Bergen,Demarest School District,Luther Lee Emerson School,03-1070-050,"15 COLUMBUS ROAD, DEMAREST, NJ, 07627",LUTHERLEEEMERSONSCHOOL,15COLUMBUSROADDEMARESTNJ07627,Luther Lee Emerson School,"15 Columbus Road, Demarest, NJ, 07627",https://www.greatschools.org/new-jersey/demarest/392-Luther-Lee-Emerson-School/,Average,6.0,LUTHERLEEEMERSONSCHOOL,15COLUMBUSROADDEMARESTNJ07627,100.0,100.0
Mercer,Trenton Public School District,Dr. Martin Luther King Middle School,21-5210-305,"401-411 Brunswick Ave, Trenton, NJ, 08638",DRMARTINLUTHERKINGMIDDLESCHOOL,401411BRUNSWICKAVETRENTONNJ08638,Dr. Martin Luther King Middle School,"401-411 Brunswick Ave, Trenton, NJ, 08638",https://www.greatschools.org/new-jersey/trenton/9242-Dr.-Martin-Luther-King-Middle-School/,Below average,2.0,DRMARTINLUTHERKINGMIDDLESCHOOL,401411BRUNSWICKAVETRENTONNJ08638,100.0,100.0
Essex,Newark Public School District,Arts High School,13-3570-010,"550 M  L  KING BLVD, NEWARK, NJ, 07102",ARTSHIGHSCHOOL,550MLKINGBLVDNEWARKNJ07102,Arts High School,"550 M L KING BLVD, Newark, NJ, 07102",https://www.greatschools.org/new-jersey/newark/1316-Arts-High-School/,Below average,3.0,ARTSHIGHSCHOOL,550MLKINGBLVDNEWARKNJ07102,100.0,100.0
Bergen,Palisades Park School District,Palisades Park Jr-Sr High School,03-3910-050,"VETERANS PLAZA, PALISADES PARK, NJ, 07650",PALISADESPARKJRSRHIGHSCHOOL,VETERANSPLAZAPALISADESPARKNJ07650,Palisades Park Jr Sr High School,"Veterans Plaza, Palisades Park, NJ, 07650",https://www.greatschools.org/new-jersey/palisades-park/1486-Palisades-Park-Jr--Sr-High-School/,Below average,3.0,PALISADESPARKJRSRHIGHSCHOOL,VETERANSPLAZAPALISADESPARKNJ07650,100.0,100.0
Passaic,Paterson Public School District,School 10,31-4010-140,"48 MERCER STREET, PATERSON, NJ, 07524",SCHOOL10,48MERCERSTREETPATERSONNJ07524,School 10,"48 Mercer Street, Paterson, NJ, 07524",https://www.greatschools.org/new-jersey/paterson/1548-Number-10-Elementary-School/,Below average,1.0,SCHOOL10,48MERCERSTREETPATERSONNJ07524,100.0,100.0
Morris,Rockaway Township School District,Copeland Middle School,27-4490-015,"100 LAKE SHORE DRIVE, ROCKAWAY, NJ, 07866",COPELANDMIDDLESCHOOL,100LAKESHOREDRIVEROCKAWAYNJ07866,Copeland Middle School,"100 Lake Shore Drive, Rockaway, NJ, 07866",https://www.greatschools.org/new-jersey/rockaway/1758-Copeland-Middle-School/,Average,5.0,COPELANDMIDDLESCHOOL,100LAKESHOREDRIVEROCKAWAYNJ07866,100.0,100.0
Bergen,Fair Lawn Public School District,Lyncrest Elementary School,03-1450-100,"9-04 MORLOT AVE, FAIR LAWN, NJ, 07410",LYNCRESTELEMENTARYSCHOOL,904MORLOTAVEFAIRLAWNNJ07410,Lyncrest Elementary School,"9-04 MORLOT AVE, Fair Lawn, NJ, 07410",https://www.greatschools.org/new-jersey/fair-lawn/574-Lyncrest-Elementary-School/,Above average,10.0,LYNCRESTELEMENTARYSCHOOL,904MORLOTAVEFAIRLAWNNJ07410,100.0,100.0
Charters,Creativity CoLaboratory Charter School,Creativity CoLaboratory Charter School,80-7897-923,"457 Shirley Road, Elmer, NJ, 08318",CREATIVITYCOLABORATORYCHARTERSCHOOL,457SHIRLEYROADELMERNJ08318,Creativity Colaboratory Charter School,"457 Shirley Road, Elmer, NJ, 08318",https://www.greatschools.org/new-jersey/elmer/9216-Creativity-Colaboratory-Charter-School/,Below average,4.0,CREATIVITYCOLABORATORYCHARTERSCHOOL,457SHIRLEYROADELMERNJ08318,100.0,100.0
Passaic,Clifton Public School District,School #2,31-0900-090,"1270 VAN HOUTEN AVENUE, CLIFTON, NJ, 07013",SCHOOL#2,1270VANHOUTENAVENUECLIFTONNJ07013,School #2,"1270 Van Houten Avenue, Clifton, NJ, 07013",https://www.greatschools.org/new-jersey/clifton/338-Number-2-Elementary-School/,Above average,7.0,SCHOOL#2,1270VANHOUTENAVENUECLIFTONNJ07013,100.0,100.0
Bergen,East Rutherford School District,McKenzie School,03-1230-080,"125 CARLTON AVENUE, EAST RUTHERFORD, NJ, 07073",MCKENZIESCHOOL,125CARLTONAVENUEEASTRUTHERFORDNJ07073,Mckenzie School,"125 Carlton Avenue, East Rutherford, NJ, 07073",https://www.greatschools.org/new-jersey/east-rutherford/3486-Mckenzie-School/,Average,5.0,MCKENZIESCHOOL,125CARLTONAVENUEEASTRUTHERFORDNJ07073,100.0,100.0
Monmouth,Marlboro Township School District,Frank Defino Central Elementary School,25-3030-030,"175 Route 79 North, MARLBORO, NJ, 07746",FRANKDEFINOCENTRALELEMENTARYSCHOOL,175ROUTE79NORTHMARLBORONJ07746,Frank Defino Central Elementary School,"175 Route 79 North, Marlboro, NJ, 07746",https://www.greatschools.org/new-jersey/marlboro-township/1111-Frank-Defino-Central-Elementary-School/,Above average,9.0,FRANKDEFINOCENTRALELEMENTARYSCHOOL,175ROUTE79NORTHMARLBORONJ07746,100.0,100.0
Charters,Elysian Charter School,Elysian Charter School of Hoboken,80-6420-925,"1460 GARDEN STREET, HOBOKEN, NJ, 07030",ELYSIANCHARTERSCHOOLOFHOBOKEN,1460GARDENSTREETHOBOKENNJ07030,Elysian Charter School Of Hoboken,"1460 Garden Street, Hoboken, NJ, 07030",https://www.greatschools.org/new-jersey/hoboken/3344-Elysian-Cs-Of-Hoboken/,Above average,7.0,ELYSIANCHARTERSCHOOLOFHOBOKEN,1460GARDENSTREETHOBOKENNJ07030,100.0,100.0
Morris,Boonton Town School District,Boonton High School,27-0450-020,"306 LATHROP AVENUE, BOONTON, NJ, 07005",BOONTONHIGHSCHOOL,306LATHROPAVENUEBOONTONNJ07005,Boonton High School,"306 Lathrop Avenue, Boonton, NJ, 07005",https://www.greatschools.org/new-jersey/boonton/157-Boonton-High-School/,Average,5.0,BOONTONHIGHSCHOOL,306LATHROPAVENUEBOONTONNJ07005,100.0,100.0
Charters,Soaraing Heights Charter School,Soaring Heights Charter School,80-7830-980,"1 ROMAR AVENUE, JERSEY CITY, NJ, 07305",SOARINGHEIGHTSCHARTERSCHOOL,1ROMARAVENUEJERSEYCITYNJ07305,Soaring Heights Charter School,"1 Romar Avenue, Jersey City, NJ, 07305",https://www.greatschools.org/new-jersey/jersey-city/3351-Soaring-Heights-Charter-School/,Above average,9.0,SOARINGHEIGHTSCHARTERSCHOOL,1ROMARAVENUEJERSEYCITYNJ07305,100.0,100.0
Passaic,Paterson Public School District,International High School,31-4010-035,"200 Grand Street, PATERSON, NJ, 07501",INTERNATIONALHIGHSCHOOL,200GRANDSTREETPATERSONNJ07501,International High School,"200 Grand Street, Paterson, NJ, 07501",https://www.greatschools.org/new-jersey/paterson/4533-International-High-School/,Below average,3.0,INTERNATIONALHIGHSCHOOL,200GRANDSTREETPATERSONNJ07501,100.0,100.0
Monmouth,Holmdel Township School District,Holmdel High School,25-2230-020,"36 CRAWFORDS CORNER ROAD, HOLMDEL, NJ, 07733",HOLMDELHIGHSCHOOL,36CRAWFORDSCORNERROADHOLMDELNJ07733,Holmdel High School,"36 Crawfords Corner Road, Holmdel, NJ, 07733",https://www.greatschools.org/new-jersey/holmdel/813-Holmdel-High-School/,Above average,9.0,HOLMDELHIGHSCHOOL,36CRAWFORDSCORNERROADHOLMDELNJ07733,100.0,100.0
Burlington,Medford Township School District,Milton H. Allen Elementary School,05-3080-060,"24 ALLEN AVENUE, MEDFORD, NJ, 08055",MILTONHALLENELEMENTARYSCHOOL,24ALLENAVENUEMEDFORDNJ08055,Milton H. Allen Elementary School,"24 Allen Avenue, Medford, NJ, 08055",https://www.greatschools.org/new-jersey/medford/1131-Milton-H.-Allen-Elementary-School/,Average,5.0,MILTONHALLENELEMENTARYSCHOOL,24ALLENAVENUEMEDFORDNJ08055,100.0,100.0
Sussex,Newton Public School District,Newton High School,37-3590-050,"44 RYERSON AVENUE, NEWTON, NJ, 07860",NEWTONHIGHSCHOOL,44RYERSONAVENUENEWTONNJ07860,Newton High School,"44 Ryerson Avenue, Newton, NJ, 07860",https://www.greatschools.org/new-jersey/newton/1389-Newton-High-School/,Below average,4.0,NEWTONHIGHSCHOOL,44RYERSONAVENUENEWTONNJ07860,100.0,100.0
Essex,Bloomfield Township School District,Bloomfield Middle School,13-0410-030,"60 Huck Road, Bloomfield, NJ, 07003",BLOOMFIELDMIDDLESCHOOL,60HUCKROADBLOOMFIELDNJ07003,Bloomfield Middle School,"60 Huck Road, Bloomfield, NJ, 07003",https://www.greatschools.org/new-jersey/bloomfield/140-Bloomfield-Middle-School/,Average,5.0,BLOOMFIELDMIDDLESCHOOL,60HUCKROADBLOOMFIELDNJ07003,100.0,100.0
Passaic,Clifton Public School District,Christopher Columbus Middle School,31-0900-035,"350 PIAGET AVENUE, CLIFTON, NJ, 07011",CHRISTOPHERCOLUMBUSMIDDLESCHOOL,350PIAGETAVENUECLIFTONNJ07011,Christopher Columbus Middle School,"350 Piaget Avenue, Clifton, NJ, 07011",https://www.greatschools.org/new-jersey/clifton/335-Christopher-Columbus-Middle-School/,Below average,4.0,CHRISTOPHERCOLUMBUSMIDDLESCHOOL,350PIAGETAVENUECLIFTONNJ07011,100.0,100.0
Monmouth,Rumson-Fair Haven Regional High School District,Rumson-Fair Haven Regional High School,25-4580-050,"74 RIDGE ROAD, RUMSON, NJ, 07760",RUMSONFAIRHAVENREGIONALHIGHSCHOOL,74RIDGEROADRUMSONNJ07760,Rumson Fair Haven Regional High School,"74 Ridge Road, Rumson, NJ, 07760",https://www.greatschools.org/new-jersey/rumson/1785-Rumson-Fair-Haven-Reg-High-School/,Above average,9.0,RUMSONFAIRHAVENREGIONALHIGHSCHOOL,74RIDGEROADRUMSONNJ07760,100.0,100.0
Hudson,Union City School District,Colin Powell Elementary School,17-5240-300,"1500 New York Avenue, Union City, NJ, 07087",COLINPOWELLELEMENTARYSCHOOL,1500NEWYORKAVENUEUNIONCITYNJ07087,Colin Powell Elementary School,"1500 New York Avenue, Union City, NJ, 07087",https://www.greatschools.org/new-jersey/union-city/7125-Colin-Powell-Elementary-School/,Average,6.0,COLINPOWELLELEMENTARYSCHOOL,1500NEWYORKAVENUEUNIONCITYNJ07087,100.0,100.0
Salem,Salem City School District,Salem Middle School,33-4630-090,"51 NEW MARKET STREET, SALEM, NJ, 08079",SALEMMIDDLESCHOOL,51NEWMARKETSTREETSALEMNJ08079,Salem Middle School,"51 New Market Street, Salem, NJ, 08079",https://www.greatschools.org/new-jersey/salem/1803-Salem-Middle-School/,Below average,1.0,SALEMMIDDLESCHOOL,51NEWMARKETSTREETSALEMNJ08079,100.0,100.0
Somerset,Bound Brook School District,Bound Brook High School,35-0490-020,"111 West Union Avenue, Bound Brook, NJ, 08805",BOUNDBROOKHIGHSCHOOL,111WESTUNIONAVENUEBOUNDBROOKNJ08805,Bound Brook High School,"111 West Union Avenue, Bound Brook, NJ, 08805",https://www.greatschools.org/new-jersey/bound-brook/165-Bound-Brook-High-School/,Below average,2.0,BOUNDBROOKHIGHSCHOOL,111WESTUNIONAVENUEBOUNDBROOKNJ08805,100.0,100.0
Monmouth,Upper Freehold Regional School District,Stonebridge Middle School,25-5310-070,"1252 Yardville-Allentown Road, Allentown, NJ, 08501",STONEBRIDGEMIDDLESCHOOL,1252YARDVILLEALLENTOWNROADALLENTOWNNJ08501,Stone Bridge Middle School,"1252 Yardville Allentown Road, Allentown, NJ, 08501",https://www.greatschools.org/new-jersey/allentown/7064-Stone-Bridge-Middle-School/,Average,6.0,STONEBRIDGEMIDDLESCHOOL,1252YARDVILLEALLENTOWNROADALLENTOWNNJ08501,100.0,100.0
Passaic,Wayne Township Public School District,Packanack Elementary School,31-5570-110,"190 OAKWOOD DRIVE, WAYNE, NJ, 07470",PACKANACKELEMENTARYSCHOOL,190OAKWOODDRIVEWAYNENJ07470,Packanack Elementary School,"190 Oakwood Drive, Wayne, NJ, 07470",https://www.greatschools.org/new-jersey/wayne/2130-Packanack-Elementary-School/,Above average,7.0,PACKANACKELEMENTARYSCHOOL,190OAKWOODDRIVEWAYNENJ07470,100.0,100.0
Union,Scotch Plains-Fanwood School District,Evergreen Elementary School,39-4670-090,"2280 EVERGREEN AVENUE, SCOTCH PLAINS, NJ, 07076",EVERGREENELEMENTARYSCHOOL,2280EVERGREENAVENUESCOTCHPLAINSNJ07076,Evergreen Elementary School,"2280 Evergreen Avenue, Scotch Plains, NJ, 07076",https://www.greatschools.org/new-jersey/scotch-plains/1821-Evergreen-Elementary-School/,Above average,9.0,EVERGREENELEMENTARYSCHOOL,2280EVERGREENAVENUESCOTCHPLAINSNJ07076,100.0,100.0
Bergen,Carlstadt PublicSchool District,Carlstadt Public School,03-0740-050,"550 WASHINGTON STREET, CARLSTADT, NJ, 07072",CARLSTADTPUBLICSCHOOL,550WASHINGTONSTREETCARLSTADTNJ07072,Carlstadt Public School,"550 Washington Street, Carlstadt, NJ, 07072",https://www.greatschools.org/new-jersey/carlstadt/4517-Carlstadt-Public-School/,Average,5.0,CARLSTADTPUBLICSCHOOL,550WASHINGTONSTREETCARLSTADTNJ07072,100.0,100.0
Gloucester,Pitman Boro School District,Pitman Middle School,15-4140-075,"138 East Holly Avenue, Pitman, NJ, 08071",PITMANMIDDLESCHOOL,138EASTHOLLYAVENUEPITMANNJ08071,Pitman Middle School,"138 East Holly Avenue, Pitman, NJ, 08071",https://www.greatschools.org/new-jersey/pitman/1637-Pitman-Middle-School/,Below average,4.0,PITMANMIDDLESCHOOL,138EASTHOLLYAVENUEPITMANNJ08071,100.0,100.0
Salem,Elsinboro Township School District,Elsinboro Township School,33-1350-050,"631 SALEM  FORT ELFSBORG ROAD, SALEM, NJ, 08079",ELSINBOROTOWNSHIPSCHOOL,631SALEMFORTELFSBORGROADSALEMNJ08079,Elsinboro Township School,"631 Salem Fort Elfsborg Road, Salem, NJ, 08079",https://www.greatschools.org/new-jersey/salem/536-Elsinboro-Elementary-School/,Below average,4.0,ELSINBOROTOWNSHIPSCHOOL,631SALEMFORTELFSBORGROADSALEMNJ08079,100.0,100.0
Essex,Cedar Grove Township School District,Cedar Grove High School,13-0760-050,"90 Rugby Road, Cedar Grove, NJ, 07009",CEDARGROVEHIGHSCHOOL,90RUGBYROADCEDARGROVENJ07009,Cedar Grove High School,"90 Rugby Road, Cedar Grove, NJ, 07009",https://www.greatschools.org/new-jersey/cedar-grove/285-Cedar-Grove-High-School/,Average,6.0,CEDARGROVEHIGHSCHOOL,90RUGBYROADCEDARGROVENJ07009,100.0,100.0
Cape May,Avalon School District,Avalon Elementary School,09-0170-010,"235 32ND STREET, AVALON, NJ, 08202",AVALONELEMENTARYSCHOOL,23532NDSTREETAVALONNJ08202,Avalon Elementary School,"235 32nd Street, Avalon, NJ, 08202",https://www.greatschools.org/new-jersey/avalon/60-Avalon-Elementary-School/,Average,6.0,AVALONELEMENTARYSCHOOL,23532NDSTREETAVALONNJ08202,100.0,100.0
Hudson,Jersey City Public Schools,Infinity Institute,17-2390-002,"193 Old Bergen Road, Jersey City, NJ, 07305",INFINITYINSTITUTE,193OLDBERGENROADJERSEYCITYNJ07305,Infinity Institute,"193 Old Bergen Road, Jersey City, NJ, 07305",https://www.greatschools.org/new-jersey/jersey-city/7066-Infinity-Institute/,Above average,10.0,INFINITYINSTITUTE,193OLDBERGENROADJERSEYCITYNJ07305,100.0,100.0
Warren,Belvidere School District,Belvidere High School,41-0280-020,"809 OXFORD STREET, BELVIDERE, NJ, 07823",BELVIDEREHIGHSCHOOL,809OXFORDSTREETBELVIDERENJ07823,Belvidere High School,"809 Oxford Street, Belvidere, NJ, 07823",https://www.greatschools.org/new-jersey/belvidere/93-Belvidere-High-School/,Below average,4.0,BELVIDEREHIGHSCHOOL,809OXFORDSTREETBELVIDERENJ07823,100.0,100.0
Mercer,Trenton Public Schools,Monument Elementary School,21-5210-250,"145 Pennington Avenue, Trenton, NJ, 08618",MONUMENTELEMENTARYSCHOOL,145PENNINGTONAVENUETRENTONNJ08618,Monument Elementary School,"145 Pennington Avenue, Trenton, NJ, 08618",https://www.greatschools.org/new-jersey/trenton/1981-Monument-Elementary-School/,Below average,1.0,MONUMENTELEMENTARYSCHOOL,145PENNINGTONAVENUETRENTONNJ08618,100.0,100.0
Charters,Ridge and Valley Charter School,Ridge and Valley Charter School,80-7727-900,"1234 STATE ROUTE 94, Frelinghuysen, NJ, 07825",RIDGEANDVALLEYCHARTERSCHOOL,1234STATEROUTE94FRELINGHUYSENNJ07825,Ridge and Valley Charter School,"1234 STATE ROUTE 94, Frelinghuysen, NJ, 07825",https://www.greatschools.org/new-jersey/blairstown/4535-Ridge-And-Valley-Charter-School/,Above average,8.0,RIDGEANDVALLEYCHARTERSCHOOL,1234STATEROUTE94FRELINGHUYSENNJ07825,100.0,100.0
Gloucester,Clayton Public School District,Herma S. Simmons Elementary School,15-0860-040,"300 WEST CHESTNUT STREET, CLAYTON, NJ, 08312",HERMASSIMMONSELEMENTARYSCHOOL,300WESTCHESTNUTSTREETCLAYTONNJ08312,Herma S Simmons Elementary School,"300 West Chestnut Street, Clayton, NJ, 08312",https://www.greatschools.org/new-jersey/clayton/324-Herma-S--Simmons-Elementary-School/,Average,5.0,HERMASSIMMONSELEMENTARYSCHOOL,300WESTCHESTNUTSTREETCLAYTONNJ08312,100.0,100.0
Burlington,North Hanover Township School District,North Hanover Township Upper Elementary School,05-3650-036,"351 MONMOUTH ROAD, WRIGHTSTOWN, NJ, 08652",NORTHHANOVERTOWNSHIPUPPERELEMENTARYSCHOOL,351MONMOUTHROADWRIGHTSTOWNNJ08652,North Hanover Township Upper Elementary School,"351 MONMOUTH ROAD, Wrightstown, NJ, 08652",https://www.greatschools.org/new-jersey/wrightstown/4563-North-Hanover-Township-Upper-Elementary-School/,Below average,4.0,NORTHHANOVERTOWNSHIPUPPERELEMENTARYSCHOOL,351MONMOUTHROADWRIGHTSTOWNNJ08652,100.0,100.0
Sussex,Sparta Township Public School District,Sparta High School,37-4960-050,"70 WEST MOUNTAIN ROAD, SPARTA, NJ, 07871",SPARTAHIGHSCHOOL,70WESTMOUNTAINROADSPARTANJ07871,Sparta High School,"70 West Mountain Road, Sparta, NJ, 07871",https://www.greatschools.org/new-jersey/sparta-township/1889-Sparta-High-School/,Above average,7.0,SPARTAHIGHSCHOOL,70WESTMOUNTAINROADSPARTANJ07871,100.0,100.0
Morris,Chester School District,Bragg Elementary School,27-0820-030,"250 Route 24, Chester, NJ, 07930",BRAGGELEMENTARYSCHOOL,250ROUTE24CHESTERNJ07930,Bragg Elementary School,"250 Route 24, Chester, NJ, 07930",https://www.greatschools.org/new-jersey/chester/312-Bragg-Elementary-School/,Above average,7.0,BRAGGELEMENTARYSCHOOL,250ROUTE24CHESTERNJ07930,100.0,100.0
