gs_school_name,gs_school_address,gs_school_link,rating
Memorial Elementary School,"201 Squaw Brook Road, North Haledon, NJ, 07508",https://www.greatschools.org/new-jersey/north-haledon/1413-Memorial-Elementary-School/,3.0
Somerset School,"303 Somerset Street, North Plainfield, NJ, 07060",https://www.greatschools.org/new-jersey/north-plainfield/1423-Somerset-School/,3.0
Stony Brook Elementary School,"269 Grove Street, North Plainfield, NJ, 07060",https://www.greatschools.org/new-jersey/north-plainfield/1424-Stony-Brook-Elementary-School/,3.0
Margaret Mace Elementary School,"1201 Atlantic Avenue, North Wildwood, NJ, 08260",https://www.greatschools.org/new-jersey/north-wildwood/1426-Margaret-Mace-Elementary-School/,3.0
Frederic A Priff Elementary School,"139 WELLS MILL ROAD, Ocean Township, NJ, 08758",https://www.greatschools.org/new-jersey/waretown/1464-Frederic-A--Priff-Elementary-School/,3.0
Cleveland Street Elementary School,"355 CLEVELAND ST, City of Orange, NJ, 07050",https://www.greatschools.org/new-jersey/city-of-orange/1478-Cleveland-Street-Elementary-School/,3.0
Palisades Park Jr Sr High School,"Veterans Plaza, Palisades Park, NJ, 07650",https://www.greatschools.org/new-jersey/palisades-park/1486-Palisades-Park-Jr--Sr-High-School/,3.0
Palmyra High School,"311 West 5th Street, Palmyra, NJ, 08065",https://www.greatschools.org/new-jersey/palmyra/1488-Palmyra-High-School/,3.0
"Number 8, Pulaski Elementary School","100 4th Street, Passaic, NJ, 07055",https://www.greatschools.org/new-jersey/passaic/1524-Number-8-Pulaski-Elementary-School/,3.0
"Number 10, Roosevelt Elementary School","151 Harrison Street, Passaic, NJ, 07055",https://www.greatschools.org/new-jersey/passaic/1526-Number-10-Roosevelt-Elementary-School/,3.0
"Number 11, Cruise Memorial Elementary School","390 Gregory Avenue, Passaic, NJ, 07055",https://www.greatschools.org/new-jersey/passaic/1527-Number-11-Cruise-Memorial-Elementary-School/,3.0
School 3,"448 Main Street, Paterson, NJ, 07501",https://www.greatschools.org/new-jersey/paterson/1541-Number-3-Elementary-School/,3.0
Rev. Dr. Frank Napier Jr. School,"55 Clinton Street, Paterson, NJ, 07522",https://www.greatschools.org/new-jersey/paterson/1542-Number-4-Elementary-School/,3.0
Charles J. Riley School 9,"6 Timothy Street, Paterson, NJ, 07503",https://www.greatschools.org/new-jersey/paterson/1547-Number-9-Elementary-School/,3.0
School 15,"98 Oak Street, Paterson, NJ, 07501",https://www.greatschools.org/new-jersey/paterson/1553-Number-15-Elementary-School/,3.0
